iteration,theta0,theta1,v_gamma
0,0.0,0.0,3.691335848139334
1,1.9757653569113316,0.4400487164208329,4.909352330631149
2,1.9892861701503664,0.23626327380269305,4.951805178071494
3,2.0051945437955454,0.02604791925603983,4.996571785769513
4,2.0238964270341446,-0.1862207902586523,5.041790188978389
5,2.0457417231832506,-0.39559501742705433,5.085427898475492
6,2.0709448117427662,-0.5974017707012624,5.12576219198081
7,2.0995132793959916,-0.7880238608819485,5.161725662434284
8,2.131216484345031,-0.965294236755033,5.192967104671481
9,2.165610716012591,-1.1284366949415507,5.219680979952791
10,2.202110578236326,-1.2777220330793937,5.242362508443625
11,2.2400775880547124,-1.4140590273575937,5.261607248856864
12,2.278897547541575,-1.538656910881112,5.277991674166823
13,2.318031555917183,-1.6527996564264489,5.292020383765821
14,2.357039486587775,-1.7577179913449832,5.304113095239262
15,2.3955826559177438,-1.8545290629582696,5.314610331576962
16,2.4334141979660564,-1.9442166059510222,5.323785574947029
17,2.470364079951007,-2.027632601368168,5.331858090167453
18,2.5063232112731484,-2.1055088171888996,5.339004199791857
19,2.541228979184677,-2.1784717956427277,5.345366472196442
20,2.575053131197495,-2.2470580304866297,5.3510609527412285
21,2.6077921308521255,-2.311727871923436,5.356182770251154
22,2.6394597396169392,-2.372877643190076,5.360810464387125
23,2.670081447071487,-2.4308499167420896,5.365009329819185
24,2.6996903642968246,-2.4859421022341124,5.368834011757439
25,2.7283242410607613,-2.538413570112287,5.372330532386979
26,2.756023328832259,-2.5884915426235104,5.375537883566804
27,2.782828871503414,-2.63637596447483,5.378489287330317
28,2.8087820571581212,-2.6822435363016734,5.3812132003977355
29,2.83392330572833,-2.72625106405338,5.383734120111866
30,2.858291799620723,-2.7685382500171,5.386073235279277
31,2.8819251888707313,-2.8092300277000426,5.3882489550546735
32,2.9048594206855327,-2.848438523271975,5.390277341290086
33,2.9271286567977954,-2.886264710357898,5.392172463981793
34,2.9487652520354186,-2.9227998121342176,5.393946695078092
35,2.96979977483368,-2.9581264943833006,5.395610952590638
36,2.9902610557715277,-2.992319884918703,5.39717490441245
37,3.010176254124692,-3.0254484481977633,5.398647139290781
38,3.029570935280945,-3.057574738654412,5.400035310888659
39,3.0484691539414412,-3.0887560520429704,5.401346259688645
40,3.0668935395447825,-3.119044990668445,5.402586116567014
41,3.0848653814495086,-3.148489955620321,5.403760391137104
42,3.1024047122073743,-3.177135576890925,5.404874047382274
43,3.119530387835211,-3.2050230904403776,5.405931568638171
44,3.1362601644069157,-3.2321906697846012,5.4069370136149555
45,3.152610770582488,-3.2586737184650114,5.407894064853225
46,3.1685979758999534,-3.2845051287563076,5.408806070767366
47,3.1842366548018,-3.3097155111408734,5.4096760822351175
48,3.199540846467337,-3.3343333983918275,5.410506884533215
49,3.2145238105887266,-3.358385427535465,5.411301025288839
50,3.229198079270648,-3.3818965024866734,5.412060839009607
51,3.2435755052583524,-3.404889939750986,5.412788468666541
52,3.257667306711348,-3.4273875992505847,5.413485884731381
53,3.271484108743661,-3.4494100020477676,5.414154902008771
54,3.285035981949387,-3.4709764364991518,5.414797194553197
55,3.2983324781258765,-3.4921050541698726,5.4154143089181215
56,3.311382663397986,-3.51281295666328,5.416007675949175
57,3.3241951489362505,-3.5331162743731976,5.4165786213032385
58,3.336778119450447,-3.5530302380386565,5.417128374849983
59,3.349139359628269,-3.5725692438717767,5.417658079090927
60,3.3612862786771553,-3.5917469129353843,5.418168796712896
61,3.373225933115884,-3.6105761453657053,5.4186615173772195
62,3.384965047951603,-3.629069169965133,5.419137163832779
63,3.3965100363675327,-3.6472375896290297,5.419596597429636
64,3.407867018036804,-3.66509242301741,5.420040623100276
65,3.4190418361686965,-3.6826441428360774,5.420469993867093
66,3.4300400733850376,-3.699902711051312,5.4208854149275405
67,3.4408670665166095,-3.7168776113267987,5.421287547362095
68,3.4515279204021097,-3.7335778789403937,5.421677011504843
69,3.462027520765484,-3.7500121284109933,5.422054390011708
70,3.472370546241266,-3.766188579041699,5.422420230657342
71,3.482561479611885,-3.782115078564211,5.422775048888094
72,3.4926046183156676,-3.7977991250505854,5.423119330155401
73,3.502504084279522,-3.8132478872418516,5.4234535320511625
74,3.512263833125899,-3.828468223428187,5.42377808626436
75,3.5218876627996187,-3.8434666990022346,5.4240934003760275
76,3.5313792216565143,-3.8582496027954325,5.424399859507872
77,3.5407420160524623,-3.872822962296803,5.4246978278381945
78,3.549979417468329,-3.8871925578443216,5.424987649997352
79,3.5590946692035543,-3.9013639358706547,5.425269652353725
80,3.5680908926685038,-3.9153424212775816,5.425544144200044
81,3.5769710933034,-3.929133129006717,5.425811418848903
82,3.5857381661494783,-3.9427409748681193,5.426071754645453
83,3.5943949010960314,-3.9561706856829644,5.426325415904446
84,3.6029439878252205,-3.969426808791567,5.426572653778102
85,3.611388020474862,-3.982513720973639,5.426813707060679
86,3.6197295020378717,-3.9954356368236894,5.427048802935018
87,3.627970848515671,-4.008196616620873,5.427278157665889
88,3.6361143928415816,-4.0208005737293355,5.4275019772444795
89,3.644162388589021,-4.0332512815621495,5.4277204579879665
90,3.6521170134782888,-4.045552380139253,5.4279337870978
91,3.6599803726946813,-4.057707382267371,5.428142143179921
92,3.667754502029806,-4.069719679367668,5.428345696729933
93,3.675441370857083,-4.081592546974885,5.428544610585921
94,3.6830428849516723,-4.093329149929848,5.428739040351401
95,3.690560889164345,-4.104932547285583,5.428929134790654
96,3.6979971699581378,-4.116405696945702,5.429115036198552
97,3.705353457816051,-4.127751460052368,5.42929688074672
98,3.712631429527455,-4.138972605139811,5.429474798807811
99,3.719832710360378,-4.150071812068247,5.429648915259484
100,3.726958876126346,-4.161051675751915,5.429819349769511
101,3.734011455144017,-4.171914709694002,5.42998621706342
102,3.74099193010742,-4.182663349340295,5.430149627175838
103,3.7479017398642585,-4.19329995526256,5.430309685686741
104,3.754742281109337,-4.203826816181901,5.430466493943602
105,3.761514909997899,-4.214246151841607,5.430620149270439
106,3.7682209436833065,-4.224560115738377,5.430770745164632
107,3.7748616617832487,-4.234770797720185,5.430918371482359
108,3.7814383077783726,-4.244880226458502,5.431063114613367
109,3.787952090347014,-4.254890371802078,5.431205057645831
110,3.794404184639461,-4.2648031470190055,5.431344280521918
111,3.8007957334949682,-4.27462041093335,5.431480860184671
112,3.807127848604557,-4.284343969962223,5.431614870716762
113,3.813401611622454,-4.293975580058801,5.431746383471653
114,3.8196180752288256,-4.303516948566426,5.43187546719762
115,3.825778264146332,-4.312969735988642,5.432002188155096
116,3.8318831761128767,-4.3223355576796445,5.432126610227763
117,3.8379337828127538,-4.331615985459425,5.432248795027746
118,3.843931030768322,-4.34081254915757,5.432368801995312
119,3.849875842194151,-4.3499267380894535,5.432486688493344
120,3.8557691158155256,-4.358960002468345,5.4326025098969835
121,3.861611727653045,-4.367913754756725,5.432716319678658
122,3.8674045317750005,-4.376789370959913,5.432828169488805
123,3.8731483610190667,-4.385588191864936,5.4329381092325315
124,3.8788440276848024,-4.394311524227383,5.43304618714245
125,3.8844923241983498,-4.402960641908847,5.433152449847907
126,3.890094023750653,-4.411536786967378,5.433256942440809
127,3.8956498809104425,-4.420041170703271,5.433359708538246
128,3.90116063221316,-4.42847497466235,5.433460790342087
