theta0,theta1,bias
-10.0,-10.0,-11.10932
-9.5,-10.0,-11.10932
-9.0,-10.0,-11.10932
-8.5,-10.0,-11.10932
-8.0,-10.0,-11.10932
-7.5,-10.0,-11.10932
-7.0,-10.0,-11.10932
-6.5,-10.0,-11.10932
-6.0,-10.0,-11.10932
-5.5,-10.0,-11.10932
-5.0,-10.0,-11.10932
-4.5,-10.0,-11.10932
-4.0,-10.0,-11.10932
-3.5,-10.0,-11.10932
-3.0,-10.0,-11.10932
-2.5,-10.0,-11.10932
-2.0,-10.0,-11.10931
-1.5,-10.0,-11.10927
-1.0,-10.0,-11.10913
-0.5,-10.0,-11.10871
0.0,-10.0,-11.10753
0.5,-10.0,-11.10421
1.0,-10.0,-11.09505
1.5,-10.0,-11.06999
2.0,-10.0,-11.00216
2.5,-10.0,-10.82231
3.0,-10.0,-10.36776
3.5,-10.0,-9.34343
4.0,-10.0,-7.5286
4.5,-10.0,-5.35714
5.0,-10.0,-3.70728
5.5,-10.0,-2.83491
6.0,-10.0,-2.46082
6.5,-10.0,-2.31613
7.0,-10.0,-2.26435
7.5,-10.0,-2.24944
8.0,-10.0,-2.25053
8.5,-10.0,-2.26054
9.0,-10.0,-2.27729
9.5,-10.0,-2.29965
10.0,-10.0,-2.32571
-10.0,-9.5,-11.10816
-9.5,-9.5,-11.10816
-9.0,-9.5,-11.10816
-8.5,-9.5,-11.10816
-8.0,-9.5,-11.10816
-7.5,-9.5,-11.10816
-7.0,-9.5,-11.10816
-6.5,-9.5,-11.10816
-6.0,-9.5,-11.10816
-5.5,-9.5,-11.10816
-5.0,-9.5,-11.10816
-4.5,-9.5,-11.10816
-4.0,-9.5,-11.10816
-3.5,-9.5,-11.10816
-3.0,-9.5,-11.10817
-2.5,-9.5,-11.10816
-2.0,-9.5,-11.10814
-1.5,-9.5,-11.10807
-1.0,-9.5,-11.10784
-0.5,-9.5,-11.10716
0.0,-9.5,-11.1052
0.5,-9.5,-11.09974
1.0,-9.5,-11.08466
1.5,-9.5,-11.04351
