theta0,theta1,v_gamma
-10.0,-10.0,-5.822474969641001
-9.5,-10.0,-5.822474971200959
-9.0,-10.0,-5.822474973771085
-8.5,-10.0,-5.822474978003593
-8.0,-10.0,-5.822474984968467
-7.5,-10.0,-5.8224749964153135
-7.0,-10.0,-5.822475015189311
-6.5,-10.0,-5.822475045874229
-6.0,-10.0,-5.822475095736125
-5.5,-10.0,-5.822475175962917
-5.0,-10.0,-5.82247530284807
-4.5,-10.0,-5.822475497404376
-4.0,-10.0,-5.822475778372559
-3.5,-10.0,-5.822476133420585
-3.0,-10.0,-5.822476424704328
-2.5,-10.0,-5.822476105526732
-2.0,-10.0,-5.822473406238498
-1.5,-10.0,-5.822463048938442
-1.0,-10.0,-5.822429916336348
-0.5,-10.0,-5.822331647474319
0.0,-10.0,-5.822051021176548
0.5,-10.0,-5.821266118685299
1.0,-10.0,-5.819097499050041
1.5,-10.0,-5.813155027220339
2.0,-10.0,-5.796998593870069
2.5,-10.0,-5.753622334819842
3.0,-10.0,-5.640432187020635
3.5,-10.0,-5.364941224118948
4.0,-10.0,-4.79368358981777
4.5,-10.0,-3.922160655917571
5.0,-10.0,-3.0629417221887176
5.5,-10.0,-2.5128914228804082
6.0,-10.0,-2.251666391568239
6.5,-10.0,-2.1460548548794462
7.0,-10.0,-2.1076078444395403
7.5,-10.0,-2.096470235877742
8.0,-10.0,-2.097284877649379
8.5,-10.0,-2.1047630575991683
9.0,-10.0,-2.1172501250445976
9.5,-10.0,-2.1338562972095785
10.0,-10.0,-2.1531284392904144
-10.0,-9.5,-5.822199936955698
-9.5,-9.5,-5.822199939527996
-9.0,-9.5,-5.822199943766016
-8.5,-9.5,-5.8221999507452304
-8.0,-9.5,-5.822199962230003
-7.5,-9.5,-5.82219998110536
-7.0,-9.5,-5.8222000120629245
-6.5,-9.5,-5.822200062661223
-6.0,-9.5,-5.822200144881972
-5.5,-9.5,-5.822200277174397
-5.0,-9.5,-5.822200486407992
-4.5,-9.5,-5.822200807238227
-4.0,-9.5,-5.822201270584928
-3.5,-9.5,-5.822201856159978
-3.0,-9.5,-5.822202336792067
-2.5,-9.5,-5.8222018113492355
-2.0,-9.5,-5.822197362707376
-1.5,-9.5,-5.8221802904690545
-1.0,-9.5,-5.8221256744375465
-0.5,-9.5,-5.821963686989479
0.0,-9.5,-5.821501124881157
0.5,-9.5,-5.820207589093886
1.0,-9.5,-5.8166354992416425
1.5,-9.5,-5.806861060524167
2.0,-9.5,-5.780388049099174
2.5,-9.5,-5.710040671763711
3.0,-9.5,-5.531303739600052
3.5,-9.5,-5.123438635042281
4.0,-9.5,-4.3830026511549685
4.5,-9.5,-3.4657901166694502
5.0,-9.5,-2.7450462755974563
5.5,-9.5,-2.355589562936296
6.0,-9.5,-2.1874197923635195
6.5,-9.5,-2.1233174835633437
7.0,-9.5,-2.102338373331505
7.5,-9.5,-2.099469096929239
8.0,-9.5,-2.10558013073256
8.5,-9.5,-2.117562015442542
9.0,-9.5,-2.1339831881386004
9.5,-9.5,-2.1531895567733517
10.0,-9.5,-2.172863701668828
-10.0,-9.0,-5.821746576811041
-9.5,-9.0,-5.821746581053029
-9.0,-9.0,-5.821746588041972
-8.5,-9.0,-5.821746599551441
-8.0,-9.0,-5.821746618491068
-7.5,-9.0,-5.821746649618608
-7.0,-9.0,-5.821746700671155
-6.5,-9.0,-5.821746784113822
-6.0,-9.0,-5.821746919706567
-5.5,-9.0,-5.821747137876426
-5.0,-9.0,-5.821747482940338
-4.5,-9.0,-5.82174801206604
-4.0,-9.0,-5.8217487762903835
-3.5,-9.0,-5.8217497422834095
-3.0,-9.0,-5.821750535761697
-2.5,-9.0,-5.821749671605242
-2.0,-9.0,-5.821742341741501
-1.5,-9.0,-5.8217142054187025
-1.0,-9.0,-5.821624187051012
-0.5,-9.0,-5.8213571978171235
0.0,-9.0,-5.8205948673169985
0.5,-9.0,-5.818463680146739
1.0,-9.0,-5.81258341382392
1.5,-9.0,-5.796530411593866
2.0,-9.0,-5.753324995279429
2.5,-9.0,-5.640408665323381
3.0,-9.0,-5.365316879307561
3.5,-9.0,-4.7945154960524965
4.0,-9.0,-3.923311496235653
4.5,-9.0,-3.064231547067963
5.0,-9.0,-2.51438089762589
5.5,-9.0,-2.253636583935235
6.0,-9.0,-2.148932704330757
6.5,-9.0,-2.1119734050599033
7.0,-9.0,-2.103064692004289
7.5,-9.0,-2.106926456862311
8.0,-9.0,-2.118076113620017
8.5,-9.0,-2.134192374675997
9.0,-9.0,-2.153290317346088
9.5,-9.0,-2.1729291457005795
10.0,-9.0,-2.1907075721110933
-10.0,-8.5,-5.820999362530993
-9.5,-8.5,-5.820999369527529
-9.0,-8.5,-5.8209993810547696
-8.5,-8.5,-5.820999400037982
-8.0,-8.5,-5.820999431276209
-7.5,-8.5,-5.820999482616783
-7.0,-8.5,-5.82099956682121
-6.5,-8.5,-5.820999704449716
-6.0,-8.5,-5.820999928095774
-5.5,-8.5,-5.821000287950616
-5.0,-8.5,-5.821000857125732
-4.5,-8.5,-5.8210017299576755
-4.0,-8.5,-5.821002990751435
-3.5,-8.5,-5.821004584879812
-3.0,-8.5,-5.821005895956774
-2.5,-8.5,-5.821004477051044
-2.0,-8.5,-5.820992404936058
-1.5,-8.5,-5.820946045974955
-1.0,-8.5,-5.820797707513198
-0.5,-8.5,-5.820357741937862
0.0,-8.5,-5.81910170114981
0.5,-8.5,-5.815592019579271
1.0,-8.5,-5.805921794958778
1.5,-8.5,-5.779622907214888
2.0,-8.5,-5.7095631485662235
2.5,-8.5,-5.531278527925689
3.0,-8.5,-5.124028143795286
3.5,-8.5,-4.384187319809884
4.0,-8.5,-3.467307958013729
4.5,-8.5,-2.7467687876311793
5.0,-8.5,-2.3577270002958297
5.5,-8.5,-2.1904056012789814
6.0,-8.5,-2.1277513142148514
6.5,-8.5,-2.1089777174943114
7.0,-8.5,-2.1091440014745078
7.5,-8.5,-2.1189233862462937
8.0,-8.5,-2.1345372072454634
8.5,-8.5,-2.153456429524366
9.0,-8.5,-2.173037037976372
9.5,-8.5,-2.1908010474544564
10.0,-8.5,-2.205192574455237
-10.0,-8.0,-5.819768094198275
-9.5,-8.0,-5.819768105740896
-9.0,-8.0,-5.819768124758123
-8.5,-8.0,-5.819768156075981
-8.0,-8.0,-5.819768207611856
-7.5,-8.0,-5.819768292312289
-7.0,-8.0,-5.819768431231558
-6.5,-8.0,-5.819768658291441
-6.0,-8.0,-5.8197690272696825
-5.5,-8.0,-5.819769620987006
-5.0,-8.0,-5.819770560106627
-4.5,-8.0,-5.819772000388364
-4.0,-8.0,-5.819774081260633
-3.5,-8.0,-5.819776713540003
-3.0,-8.0,-5.819778882886989
-2.5,-8.0,-5.8197765593874164
-2.0,-8.0,-5.819756690563177
-1.5,-8.0,-5.819680339014526
-1.0,-8.0,-5.819435978636348
-0.5,-8.0,-5.818711209714295
0.0,-8.0,-5.816642600942704
0.5,-8.0,-5.810867103000939
1.0,-8.0,-5.794990373654238
1.5,-8.0,-5.752081557006162
2.0,-8.0,-5.639654369329603
2.5,-8.0,-5.365307725142855
3.0,-8.0,-4.79542062168542
3.5,-8.0,-3.9249434331015305
4.0,-8.0,-3.066234072212963
4.5,-8.0,-2.5167630486415815
5.0,-8.0,-2.256791046913042
5.5,-8.0,-2.153476088696257
6.0,-8.0,-2.118685767730498
6.5,-8.0,-2.1127942193511053
7.0,-8.0,-2.1203194006047035
7.5,-8.0,-2.1351055831360166
8.0,-8.0,-2.1537302643648637
8.5,-8.0,-2.173214904078859
9.0,-8.0,-2.1909551468483937
9.5,-8.0,-2.2053469866014495
10.0,-8.0,-2.215999996431268
-10.0,-7.5,-5.817739921580883
-9.5,-7.5,-5.8177399406312125
-9.0,-7.5,-5.817739972017934
-8.5,-7.5,-5.817740023706172
-8.0,-7.5,-5.81774010876334
-7.5,-7.5,-5.817740248557655
-7.0,-7.5,-5.8177404778400685
-6.5,-7.5,-5.817740852602438
-6.0,-7.5,-5.817741461618369
-5.5,-7.5,-5.817742441624398
-5.0,-7.5,-5.81774399189365
-4.5,-7.5,-5.817746369841695
-4.0,-7.5,-5.817749806522303
-3.5,-7.5,-5.817754157289721
-3.0,-7.5,-5.817757754963253
-2.5,-7.5,-5.817753967263289
-2.0,-7.5,-5.817721303373807
-1.5,-7.5,-5.817595642050397
-1.0,-7.5,-5.817193325531791
-0.5,-7.5,-5.816000043528772
0.0,-7.5,-5.8125955933473845
0.5,-7.5,-5.80310316192777
1.0,-7.5,-5.777106805811091
1.5,-7.5,-5.707560836819915
2.0,-7.5,-5.530118291430458
2.5,-7.5,-5.1240850030726355
3.0,-7.5,-4.385542611276155
3.5,-7.5,-3.469512493002178
4.0,-7.5,-2.7494661621755476
4.5,-7.5,-2.3611329655728546
5.0,-7.5,-2.1951212593237104
5.5,-7.5,-2.134581350391835
6.0,-7.5,-2.1187964259500522
6.5,-7.5,-2.122618588764456
7.0,-7.5,-2.136042250095762
7.5,-7.5,-2.154181638831266
8.0,-7.5,-2.1735081062733816
8.5,-7.5,-2.1912091719629316
9.0,-7.5,-2.2056015277803027
9.5,-7.5,-2.216265187146945
10.0,-7.5,-2.223644327124919
-10.0,-7.0,-5.814401038070464
-9.5,-7.0,-5.814401069532741
-9.0,-7.0,-5.814401121369099
-8.5,-7.0,-5.814401206734489
-8.0,-7.0,-5.814401347210978
-7.5,-7.0,-5.814401578091095
-7.0,-7.0,-5.814401956773341
-6.5,-7.0,-5.814402575746987
-6.0,-7.0,-5.814403581670723
-5.5,-7.0,-5.81440520049533
-5.0,-7.0,-5.814407761669798
-4.5,-7.0,-5.814411691257323
-4.0,-7.0,-5.8144173733875935
-3.5,-7.0,-5.814424576068567
-3.0,-7.0,-5.81443056463746
-2.5,-7.0,-5.8144244366546145
-2.0,-7.0,-5.814370838622493
-1.5,-7.0,-5.814164257690447
-1.0,-7.0,-5.813502483632416
-0.5,-7.0,-5.81153959394229
0.0,-7.0,-5.805943150350746
0.5,-7.0,-5.790373144795088
1.0,-7.0,-5.7479946194351035
1.5,-7.0,-5.636477258909874
2.0,-7.0,-5.363596584146326
2.5,-7.0,-4.7956579052806525
3.0,-7.0,-3.9269253761421434
3.5,-7.0,-3.069212057991635
4.0,-7.0,-2.5205078900615683
4.5,-7.0,-2.2617673185318186
5.0,-7.0,-2.1604926552820896
5.5,-7.0,-2.1286491145157407
6.0,-7.0,-2.1264026554592355
6.5,-7.0,-2.1375853937840086
7.0,-7.0,-2.1549255499273117
7.5,-7.0,-2.173991380629078
8.0,-7.0,-2.191627874893141
8.5,-7.0,-2.206021082706939
9.0,-7.0,-2.2167022999472072
9.5,-7.0,-2.224099158946762
10.0,-7.0,-2.228982733017868
-10.0,-6.5,-5.808909721240348
-9.5,-6.5,-5.808909773257889
-9.0,-6.5,-5.808909858960824
-8.5,-6.5,-5.808910000099362
-8.0,-6.5,-5.808910232357898
-7.5,-6.5,-5.808910614092581
-7.0,-6.5,-5.808911240218603
-6.5,-6.5,-5.808912263696707
-6.0,-6.5,-5.80891392712659
-5.5,-6.5,-5.808916604419283
-5.0,-6.5,-5.808920841188744
-4.5,-6.5,-5.8089273443786125
-4.0,-6.5,-5.808936755937338
-3.5,-6.5,-5.80894871094098
-3.0,-6.5,-5.808958738743568
-2.5,-6.5,-5.808948951831752
-2.0,-6.5,-5.808861275698083
-1.5,-6.5,-5.8085223046618495
-1.0,-6.5,-5.807435375842369
-0.5,-6.5,-5.804211293915524
0.0,-6.5,-5.795029025592737
0.5,-6.5,-5.76957461206756
1.0,-6.5,-5.700984838319488
1.5,-6.5,-5.525193991418038
2.0,-6.5,-5.121721349812936
2.5,-6.5,-4.386180918541281
3.0,-6.5,-3.472365190822667
3.5,-6.5,-2.753556706146055
4.0,-6.5,-2.366472678326139
4.5,-6.5,-2.2024245990913256
5.0,-6.5,-2.1447765929084586
5.5,-6.5,-2.1326234721345005
6.0,-6.5,-2.140126457829944
6.5,-6.5,-2.1561512920404735
7.0,-6.5,-2.1747878003066012
7.5,-6.5,-2.1923178904747047
8.0,-6.5,-2.206712506121612
8.5,-6.5,-2.2174226707304587
