theta0,theta1,v_gamma
-10.0,-10.0,-9.770985300758147
-9.5,-10.0,-9.770985305751969
-9.0,-10.0,-9.770985313979603
-8.5,-10.0,-9.77098532752895
-8.0,-10.0,-9.770985349825295
-7.5,-10.0,-9.77098538646958
-7.0,-10.0,-9.770985446569963
-6.5,-10.0,-9.770985544800256
-6.0,-10.0,-9.770985704420967
-5.5,-10.0,-9.770985961247508
-5.0,-10.0,-9.770986367439448
-4.5,-10.0,-9.770986990264134
-4.0,-10.0,-9.770987889715508
-3.5,-10.0,-9.770989026315592
-3.0,-10.0,-9.770989958789915
-2.5,-10.0,-9.77098893702019
-2.0,-10.0,-9.770980295907172
-1.5,-10.0,-9.770947139604312
-1.0,-10.0,-9.770841074593513
-0.5,-10.0,-9.77052650001237
0.0,-10.0,-9.769628222728
0.5,-10.0,-9.767116188043826
1.0,-10.0,-9.760178840994623
1.5,-10.0,-9.741193058022885
2.0,-10.0,-9.689751492594107
2.5,-10.0,-9.552910912280495
3.0,-10.0,-9.204300462418297
3.5,-10.0,-8.403810252486252
4.0,-10.0,-6.932727663580637
4.5,-10.0,-5.077813067305729
5.0,-10.0,-3.5940621246089957
5.5,-10.0,-2.781851793395318
6.0,-10.0,-2.4274611192825803
6.5,-10.0,-2.289391586341655
7.0,-10.0,-2.2398432973718165
7.5,-10.0,-2.225559970564941
8.0,-10.0,-2.2266036370987186
8.5,-10.0,-2.2361920400785915
9.0,-10.0,-2.252234344190036
9.5,-10.0,-2.2736299481909086
10.0,-10.0,-2.298548762769704
-10.0,-9.5,-9.770104888373652
-9.5,-9.5,-9.770104896607533
-9.0,-9.5,-9.770104910173357
-8.5,-9.5,-9.770104932513698
-8.0,-9.5,-9.770104969276243
-7.5,-9.5,-9.770105029695925
-7.0,-9.5,-9.770105128790524
-6.5,-9.5,-9.770105290754772
-6.0,-9.5,-9.770105553941908
-5.5,-9.5,-9.770105977407601
-5.0,-9.5,-9.770106647160635
-4.5,-9.5,-9.770107674132628
-4.0,-9.5,-9.770109157297524
-3.5,-9.5,-9.770111031713606
-3.0,-9.5,-9.770112570209244
-2.5,-9.5,-9.77011088827514
-2.0,-9.5,-9.770096648254738
-1.5,-9.5,-9.77004200051857
-1.0,-9.5,-9.76986717815065
-0.5,-9.5,-9.769348684361029
0.0,-9.5,-9.767868247218164
0.5,-9.5,-9.76372939891796
1.0,-9.5,-9.752308659669257
1.5,-9.5,-9.721122536296345
2.0,-9.5,-9.637132425301687
