iteration,theta0,theta1,v_gamma
0,0.0,0.0,-3.453267566394109
1,0.13233782610218672,-0.33161514830643796,-3.4017182360815044
2,0.1936444939219525,-0.4370597508614098,-3.3780637520761516
3,0.24012857964704268,-0.49360766082983565,-3.3548477919694912
4,0.2841712665007699,-0.5402862530419973,-3.3307624052291755
5,0.32860755716213985,-0.5858874689039721,-3.3057266832104433
6,0.37414837276044344,-0.6324523688039201,-3.2797187075336844
7,0.4210424014464305,-0.6805271906029859,-3.25271734580038
8,0.4694482603569513,-0.7303363757636048,-3.224698949919793
9,0.5195201484203522,-0.7820479077513233,-3.1956369618612834
10,0.5714299491637721,-0.8358362866934548,-3.1655017401864396
11,0.6253756598834811,-0.891900580501592,-3.134260453504592
12,0.6815875615639363,-0.9504731854865345,-3.101877042938319
13,0.7403349793673646,-1.0118276809903692,-3.068312277460406
14,0.8019346369108057,-1.0762881019921169,-3.033523940170491
15,0.8667613190708435,-1.1442407285229554,-2.9974672014468022
16,0.9352616853502269,-1.2161494435237106,-2.960095260138945
17,1.007972391140447,-1.292576051954186,-2.921360370453801
18,1.0855441769776062,-1.3742075720242,-2.881215425455571
19,1.168774361250236,-1.4618934963685968,-2.8396163464125617
20,1.258651383617492,-1.556697603240997,-2.7965256429920755
21,1.35641698282576,-1.659971496416045,-2.751917681023148
22,1.4636547677231695,-1.7734614506838995,-2.705786449010494
23,1.5824192989708572,-1.8994678447407485,-2.6581569880460414
24,1.7154291415467335,-2.0410905016064507,-2.6091021827010383
25,1.8663642498913489,-2.202620012103417,-2.5587673177831953
26,2.040339965376971,-2.390188829169973,-2.5074055629320995
27,2.24469336368292,-2.612910457903511,-2.455427699050932
28,2.4903523303349155,-2.8849971070853835,-2.4034664740594818
29,2.7943697811738715,-3.2299966484112743,-2.3524415615041407
30,3.185027203836659,-3.690060174558406,-2.303558776730442
31,3.7135017410313624,-4.348438073709099,-2.2580192121858653
32,4.485873633248489,-5.389847841083143,-2.215935921070827
33,5.761229691141351,-7.257849975413823,-2.1752568784752526
34,8.048314735143235,-10.719428552564395,-2.141047773130851
