iteration,theta0,theta1,v_gamma
0,0.0,0.0,-3.453267566394109
1,0.1009062188183645,-0.2887613730082044,-3.41638812836529
2,0.18971791860194626,-0.5488101304543246,-3.413706304209287
3,0.2518614073088832,-0.7270275294256193,-3.425325331992429
4,0.2330072933084293,-0.6592326279817081,-3.415117080484194
5,0.22954228841589497,-0.6306165782038161,-3.407273293329255
6,0.1702473518496336,-0.4346742017014872,-3.3960255303388225
7,0.23662235957972427,-0.6208951839431588,-3.3972170073666175
8,0.12589408067519492,-0.27229321502837706,-3.396066556092432
9,0.2761327276170966,-0.7163052880011049,-3.3971800979156157
10,0.3587459606452593,-0.9485692674622029,-3.4214524471893757
11,0.3129155010829551,-0.7937885967209686,-3.3941474417583146
12,0.18780393388186423,-0.3983855152531557,-3.373807872569425
13,0.2957093788934094,-0.7152574741625625,-3.3779850975834895
14,0.3561527650109957,-0.8794659082370421,-3.389320676020655
15,0.3834987967808002,-0.9448716367168075,-3.3924296060159325
16,0.3423232294523843,-0.8012386082393477,-3.367943994167218
17,0.3373073364017913,-0.7728425266943989,-3.360988659986078
18,0.31808635624134074,-0.701450622341676,-3.3515990236727253
19,0.27577309481017515,-0.5589982406474285,-3.342875973677682
20,0.2955198040644942,-0.6026991855041998,-3.338769387315613
21,0.41935193851256397,-0.9617903919341166,-3.362062578308931
22,0.3847021797756577,-0.8385139914757828,-3.341464488155861
23,0.39226222659338883,-0.8469590197636293,-3.337466675792633
24,0.3015361743741314,-0.5512561923495625,-3.3192383339468474
25,0.34172554201555483,-0.6561237894740293,-3.3146923827023196
26,0.3017886808302638,-0.5153681352099186,-3.310350551459641
27,0.32178622909040316,-0.5746261630543698,-3.3084716598009183
28,0.3697436358324042,-0.7102790622336834,-3.3070373196082636
29,0.3764837744445468,-0.7103549390317182,-3.30093294526338
30,0.3675695881587209,-0.6686913619540754,-3.2957371755089997
31,0.35048894355387383,-0.6037888207166091,-3.292081944849662
32,0.43717993984946,-0.8543201738261982,-3.2958318370651467
33,0.518333842600277,-1.0845503486374528,-3.314995554434785
34,0.4902937291086997,-0.9727170104467066,-3.2919127387467513
35,0.4580373940941452,-0.8617739898716581,-3.2783360562527926
36,0.4724163445122304,-0.8879933878589894,-3.274465260515306
37,0.5565325152428395,-1.132923139180796,-3.2969659230699553
38,0.4617752459359853,-0.8294670958042003,-3.262767026013322
39,0.388108785589101,-0.587941662035805,-3.2573208535390985
40,0.3985239090300247,-0.598953187831861,-3.251368656700356
41,0.46122016849455066,-0.7679681276057788,-3.242831970985157
42,0.4865206249032063,-0.8290282065782738,-3.239453200039054
43,0.5129901844101629,-0.8831931685505185,-3.2333956668526356
44,0.5539533335550779,-0.9957708905146592,-3.236473327929594
45,0.5237185038531318,-0.8886452855030753,-3.2251590428850676
46,0.5930259450737866,-1.0823093089806717,-3.233196026461174
47,0.4213424447386581,-0.5476137928502425,-3.22379052503031
48,0.48755962755773163,-0.7227521838377536,-3.207325351334595
49,0.48478716898601626,-0.7005016214890304,-3.2042221260418757
50,0.5463255429183186,-0.8649357891857206,-3.1962809336892506
51,0.5416271361042632,-0.8337347221126696,-3.190970598542645
52,0.5233452537146527,-0.7615023099390253,-3.186979795617609
53,0.6462964517374988,-1.113533215468454,-3.191420569283493
54,0.7351920480038209,-1.3658829905396463,-3.2144077355610454
55,0.7100163058660564,-1.274947576764235,-3.1967980176529096
56,0.681344047636367,-1.1648018719169546,-3.1770943682458372
57,0.7066138322336587,-1.214894321266719,-3.1725767188886507
58,0.6737395953398114,-1.0921275058724906,-3.1552722975105025
59,0.5998573057538231,-0.8566587054014159,-3.14668656426819
60,0.5952217008792614,-0.8157777170484569,-3.1403076966715195
61,0.6381892547796749,-0.9189357245385908,-3.130645390101116
62,0.7136972934694228,-1.1286178159866878,-3.1300509402407846
63,0.8192085074188135,-1.4340187904471269,-3.153726438173132
64,0.7453539673488998,-1.1963902731290121,-3.125061547084917
65,0.6389151836390831,-0.8558941875575015,-3.113816932747857
66,0.7754101679256686,-1.2537083375380162,-3.118054116883685
67,0.7930138933118162,-1.2747508613200005,-3.108890078546438
68,0.7459110666314177,-1.1183797444288759,-3.0957334876091447
69,0.815106003273986,-1.309945660704253,-3.1010613661330546
70,0.7960431652156461,-1.2256057248552077,-3.086528669408627
71,0.8280819259742318,-1.298324701077725,-3.0832443338972717
72,0.8692779949165289,-1.4031221989781038,-3.085146984531079
73,0.7281203454930676,-0.9560778391025462,-3.0644409055476545
74,0.7190875797942672,-0.8976870048367657,-3.0589069050498425
75,0.7444457057455239,-0.9515709808034013,-3.0502848491176677
76,0.7479050093919124,-0.9357216285715685,-3.04420482282014
77,0.8574794600475553,-1.24835843157067,-3.0366731034117973
78,0.7987556141418555,-1.0442481725591382,-3.0280356952859284
79,0.896028180771139,-1.3156520096440651,-3.024289828412725
80,0.8111944210913254,-1.0300345739496604,-3.0147551383876188
81,0.7736901605214112,-0.8970479195657247,-3.017898406997751
82,0.9280201271805185,-1.3300969644251848,-2.9998491320768537
83,0.9843857371114507,-1.47876002647231,-3.0009147531053024
84,1.023015401568679,-1.5716157844911085,-3.0002821955616015
85,1.0182362204707571,-1.528819880361185,-2.9877189831644255
86,1.079204617692234,-1.6895456755927585,-2.993932825619531
87,0.8383462619662266,-0.9347387702006975,-2.977794358081844
88,0.9191387330450043,-1.1459029374920224,-2.9562325276824146
89,0.8898124135398304,-1.0391908221419277,-2.9574092228880366
90,0.9458358200799307,-1.1854248682880635,-2.944452857916374
91,1.0425039124596398,-1.4543046779977653,-2.9387820608165782
92,0.9368366433613736,-1.105428406634271,-2.9351346046991873
93,1.0571509804454446,-1.4489400399365127,-2.9244479596961868
94,1.1752926902089587,-1.7862600843155985,-2.9389012602646467
95,1.2308430943444324,-1.9206709732903664,-2.9415759986055714
96,1.2502840752662008,-1.954696503641619,-2.937041684287479
97,1.2914343316931274,-2.055079334434449,-2.9409009108842397
98,1.1463409284144663,-1.595086050104163,-2.8943675954374384
99,1.0787302706903696,-1.3582195531444694,-2.882613566857734
100,1.1389560264556475,-1.5245093530662874,-2.878826853525467
101,1.1728251710784294,-1.5878509754720946,-2.8697863031318684
102,0.9449878472178772,-0.8586266088403086,-2.9080954510335966
103,1.1440095432251876,-1.4264758558395025,-2.8497024540932765
104,1.1341813203544664,-1.3562442194416007,-2.842122979500207
105,1.1507374568684403,-1.3588091689514241,-2.8312939889309447
106,1.1713276167508424,-1.3935994401523255,-2.8237126757374376
107,1.2677628476313645,-1.6564041078305929,-2.814045485117
