iteration,theta0,theta1,v_gamma
0,0.0,0.0,-3.231135514350523
1,-0.4502155615912644,1.620799649343657,-3.942109417666286
2,0.977663766120747,-2.662853703218415,-3.598427108176833
3,-0.6785718661251607,2.4351362705320527,-4.506322898440543
4,0.41600768292827817,-0.8663933054113131,-3.1213946469256344
5,0.36322366092556535,-0.3552362323590502,-3.056107134711565
6,0.8234925086400858,-1.5848511152371207,-3.045597835679288
7,-0.3046896905565274,1.8443210857873704,-4.145801112613701
8,0.4764467442092034,-0.5160294915263282,-3.0021056943343063
9,0.47644674420920413,-0.516029491526332,-3.0021056943343054
