iteration,theta0,theta1,v_gamma
0,0.0,0.0,-3.862224698720718
1,1.0469782268853762,0.09517983880776147,-3.5503801983767973
2,1.469554819111465,-0.6569617212256768,-3.0234515708311944
3,1.4823678817892807,-1.596410900131389,-2.8527614517756197
4,2.5870074864048234,-1.2147569981599735,-2.7701347746603635
5,2.8066992830120086,-1.4146309365268483,-2.7030273729624414
6,2.765333840802196,-1.8811269599391496,-2.565701387936994
7,2.7355183356526975,-1.984905153688518,-2.5444107676658225
8,2.7355183356526998,-1.9849051536885176,-2.5444107676658225
9,2.8397194863147894,-2.3630516296461566,-2.4845608384414724
10,2.6541756404735395,-2.747512545054125,-2.4808225412579525
11,2.6541756404735377,-2.7475125450541595,-2.4808225412579525
12,3.1769998532647303,-2.6563773465844336,-2.443871676134314
13,3.129057764234224,-2.7599031301374883,-2.4349445524554247
14,3.2169176543028346,-2.932518516677748,-2.41880181376652
15,3.1222158496337618,-3.0982204802618893,-2.4152825288721385
16,3.1157362967272593,-3.1153600566728223,-2.4152657711041505
17,3.469955438277279,-3.0631278190709805,-2.4044812418410046
18,3.452684610216097,-3.083174259318834,-2.403027067757048
19,3.4526846102161204,-3.083174259318829,-2.403027067757048
20,3.4148627996779326,-3.1237036002909355,-2.4005917846876526
21,3.2441463695361223,-3.4385508552619095,-2.3976062656313215
22,3.3010527353343875,-3.565061739330745,-2.3913668565823563
23,3.6633150474780027,-3.4222130753473463,-2.378550085803704
24,3.642355698242377,-3.4450396439699933,-2.377408575296363
25,3.5965926563855235,-3.492670056565141,-2.3757029611789218
26,3.598771621162878,-3.5358305259530054,-2.373661623642903
27,3.5022973204217274,-3.697534761511954,-2.3731188978653788
28,3.870289556618284,-3.659256140893748,-2.364298923264593
29,3.824787503607596,-3.705957371833234,-2.3619172450858215
30,3.972937743953737,-3.760312221202232,-2.3590754500600264
31,3.9275084398457305,-3.8539093985445905,-2.354175696653462
32,3.9275084398457936,-3.8539093985445803,-2.3541756966534617
33,3.816936211687999,-4.009479130608936,-2.3505607640329687
34,3.9698411208887388,-3.9680635417845562,-2.3488206912503684
35,3.8845951532802867,-4.054340522954715,-2.3471845980882073
36,4.005501860403549,-4.083425752785253,-2.343867766238536
37,3.975878705008883,-4.114043567425037,-2.3432244081997227
38,3.944529079745911,-4.146392880489755,-2.342936644107064
