iteration,theta0,theta1,gain
0,0.0,0.0,0.0
1,0.13233782610218672,-0.33161514830643796,0.0
2,0.1936444939219525,-0.4370597508614098,0.0
3,0.24012857964704268,-0.49360766082983565,0.0
4,0.2841712665007699,-0.5402862530419973,0.0
5,0.32860755716213985,-0.5858874689039721,0.0
6,0.37414837276044344,-0.6324523688039201,0.0
7,0.4210424014464305,-0.6805271906029859,0.0
8,0.4694482603569513,-0.7303363757636048,0.0
9,0.5195201484203522,-0.7820479077513233,0.0
10,0.5714299491637721,-0.8358362866934548,0.0
11,0.6253756598834811,-0.891900580501592,0.0
12,0.6815875615639363,-0.9504731854865345,0.0
13,0.7403349793673646,-1.0118276809903692,0.0
14,0.8019346369108057,-1.0762881019921169,0.0
15,0.8667613190708435,-1.1442407285229554,0.0
16,0.9352616853502269,-1.2161494435237106,0.0
17,1.007972391140447,-1.292576051954186,0.0
18,1.0855441769776062,-1.3742075720242,0.0
19,1.168774361250236,-1.4618934963685968,0.0
20,1.258651383617492,-1.556697603240997,0.0
21,1.35641698282576,-1.659971496416045,0.0
22,1.4636547677231695,-1.7734614506838995,0.0
23,1.5824192989708572,-1.8994678447407485,0.0
24,1.7154291415467335,-2.0410905016064507,0.0
25,1.8663642498913489,-2.202620012103417,0.0
26,2.040339965376971,-2.390188829169973,0.0
27,2.24469336368292,-2.612910457903511,0.0
28,2.4903523303349155,-2.8849971070853835,0.0
29,2.7943697811738715,-3.2299966484112743,0.0
30,3.185027203836659,-3.690060174558406,0.0
31,3.7135017410313624,-4.348438073709099,0.0
32,4.485873633248489,-5.389847841083143,0.0
33,5.761229691141351,-7.257849975413823,0.0
34,8.048314735143235,-10.719428552564395,0.0
