iteration,theta0,theta1,gain
0,0.0,0.0,0.0
1,0.1009062188183645,-0.2887613730082044,0.0
2,0.18971791860194626,-0.5488101304543246,0.0
3,0.2518614073088832,-0.7270275294256193,0.0
4,0.2330072933084293,-0.6592326279817081,0.0
5,0.22954228841589497,-0.6306165782038161,0.0
6,0.1702473518496336,-0.4346742017014872,0.0
7,0.23662235957972427,-0.6208951839431588,0.0
8,0.12589408067519492,-0.27229321502837706,0.0
9,0.2761327276170966,-0.7163052880011049,0.0
10,0.3587459606452593,-0.9485692674622029,0.0
11,0.3129155010829551,-0.7937885967209686,0.0
12,0.18780393388186423,-0.3983855152531557,0.0
13,0.2957093788934094,-0.7152574741625625,0.0
14,0.3561527650109957,-0.8794659082370421,0.0
15,0.3834987967808002,-0.9448716367168075,0.0
16,0.3423232294523843,-0.8012386082393477,0.0
17,0.3373073364017913,-0.7728425266943989,0.0
18,0.31808635624134074,-0.701450622341676,0.0
19,0.27577309481017515,-0.5589982406474285,0.0
20,0.2955198040644942,-0.6026991855041998,0.0
21,0.41935193851256397,-0.9617903919341166,0.0
22,0.3847021797756577,-0.8385139914757828,0.0
23,0.39226222659338883,-0.8469590197636293,0.0
24,0.3015361743741314,-0.5512561923495625,0.0
25,0.34172554201555483,-0.6561237894740293,0.0
26,0.3017886808302638,-0.5153681352099186,0.0
27,0.32178622909040316,-0.5746261630543698,0.0
28,0.3697436358324042,-0.7102790622336834,0.0
29,0.3764837744445468,-0.7103549390317182,0.0
30,0.3675695881587209,-0.6686913619540754,0.0
31,0.35048894355387383,-0.6037888207166091,0.0
32,0.43717993984946,-0.8543201738261982,0.0
33,0.518333842600277,-1.0845503486374528,0.0
34,0.4902937291086997,-0.9727170104467066,0.0
35,0.4580373940941452,-0.8617739898716581,0.0
36,0.4724163445122304,-0.8879933878589894,0.0
37,0.5565325152428395,-1.132923139180796,0.0
38,0.4617752459359853,-0.8294670958042003,0.0
39,0.388108785589101,-0.587941662035805,0.0
40,0.3985239090300247,-0.598953187831861,0.0
41,0.46122016849455066,-0.7679681276057788,0.0
42,0.4865206249032063,-0.8290282065782738,0.0
43,0.5129901844101629,-0.8831931685505185,0.0
44,0.5539533335550779,-0.9957708905146592,0.0
45,0.5237185038531318,-0.8886452855030753,0.0
46,0.5930259450737866,-1.0823093089806717,0.0
47,0.4213424447386581,-0.5476137928502425,0.0
48,0.48755962755773163,-0.7227521838377536,0.0
49,0.48478716898601626,-0.7005016214890304,0.0
50,0.5463255429183186,-0.8649357891857206,0.0
51,0.5416271361042632,-0.8337347221126696,0.0
52,0.5233452537146527,-0.7615023099390253,0.0
53,0.6462964517374988,-1.113533215468454,0.0
54,0.7351920480038209,-1.3658829905396463,0.0
55,0.7100163058660564,-1.274947576764235,0.0
56,0.681344047636367,-1.1648018719169546,0.0
57,0.7066138322336587,-1.214894321266719,0.0
58,0.6737395953398114,-1.0921275058724906,0.0
59,0.5998573057538231,-0.8566587054014159,0.0
60,0.5952217008792614,-0.8157777170484569,0.0
61,0.6381892547796749,-0.9189357245385908,0.0
62,0.7136972934694228,-1.1286178159866878,0.0
63,0.8192085074188135,-1.4340187904471269,0.0
64,0.7453539673488998,-1.1963902731290121,0.0
65,0.6389151836390831,-0.8558941875575015,0.0
66,0.7754101679256686,-1.2537083375380162,0.0
67,0.7930138933118162,-1.2747508613200005,0.0
68,0.7459110666314177,-1.1183797444288759,0.0
69,0.815106003273986,-1.309945660704253,0.0
70,0.7960431652156461,-1.2256057248552077,0.0
71,0.8280819259742318,-1.298324701077725,0.0
72,0.8692779949165289,-1.4031221989781038,0.0
73,0.7281203454930676,-0.9560778391025462,0.0
74,0.7190875797942672,-0.8976870048367657,0.0
75,0.7444457057455239,-0.9515709808034013,0.0
76,0.7479050093919124,-0.9357216285715685,0.0
77,0.8574794600475553,-1.24835843157067,0.0
78,0.7987556141418555,-1.0442481725591382,0.0
79,0.896028180771139,-1.3156520096440651,0.0
80,0.8111944210913254,-1.0300345739496604,0.0
81,0.7736901605214112,-0.8970479195657247,0.0
82,0.9280201271805185,-1.3300969644251848,0.0
83,0.9843857371114507,-1.47876002647231,0.0
84,1.023015401568679,-1.5716157844911085,0.0
85,1.0182362204707571,-1.528819880361185,0.0
86,1.079204617692234,-1.6895456755927585,0.0
87,0.8383462619662266,-0.9347387702006975,0.0
88,0.9191387330450043,-1.1459029374920224,0.0
89,0.8898124135398304,-1.0391908221419277,0.0
90,0.9458358200799307,-1.1854248682880635,0.0
91,1.0425039124596398,-1.4543046779977653,0.0
92,0.9368366433613736,-1.105428406634271,0.0
93,1.0571509804454446,-1.4489400399365127,0.0
94,1.1752926902089587,-1.7862600843155985,0.0
95,1.2308430943444324,-1.9206709732903664,0.0
96,1.2502840752662008,-1.954696503641619,0.0
