iteration,theta0,theta1,gain
0,0.0,0.0,0.0
1,0.8898961904202889,0.0808996536745717,0.0
2,1.161635492029893,-0.5228010461133988,0.0
3,1.140665000995145,-1.2714437286098859,0.0
4,1.8124441678980625,-1.225597307335587,0.0
5,2.123666865123834,-1.3102273114154916,0.0
6,1.995708806670835,-1.7359638305278404,0.0
7,2.2857102719125053,-1.7614784465554048,0.0
8,2.426605857046195,-1.7308590708998046,0.0
9,2.9271847178452743,-1.8843518920466273,0.0
10,2.796261264417523,-2.270878436981783,0.0
11,2.7835980021943,-2.6419209550352294,0.0
12,3.0865815780713084,-2.649764151946702,0.0
13,3.038912467267433,-2.7439888336335825,0.0
14,3.315236263342105,-2.7938449330647055,0.0
15,3.1684213305394486,-3.0764927571626544,0.0
16,3.125151503473435,-3.196184014634599,0.0
17,3.4393432919732936,-3.1489189766515047,0.0
18,3.4216723074446547,-3.16893974155837,0.0
19,3.468157322989133,-3.1585413867532366,0.0
20,3.4313939814948258,-3.1974993070314848,0.0
21,3.2661753825735707,-3.4842788016106674,0.0
22,3.3156470592137834,-3.597395724338434,0.0
23,3.643790820121868,-3.468587981450349,0.0
24,3.6234666681890073,-3.4906084181029837,0.0
25,3.579025505397592,-3.5367630746506586,0.0
