iteration,theta0,theta1,gain
0,0.0,0.0,0.0
1,0.7499999999999999,-0.04999999999999999,0.0
2,0.8262980509854436,-0.8121322799833166,0.0
3,1.7754333905923905,-0.8459269390264605,0.0
4,1.6318178403546322,-1.339043841977443,0.0
5,1.6080670676319995,-1.4731878321676213,0.0
6,2.645290903702744,-1.3316488915342393,0.0
7,2.640618332999467,-1.450191025709644,0.0
8,2.5983069856300594,-1.8164967148208175,0.0
9,2.79606421888561,-1.8689042281064046,0.0
10,2.6996533901295936,-2.042583843405066,0.0
11,3.05414133235051,-2.0997674592129925,0.0
12,3.0541413323505524,-2.099767459212994,0.0
13,3.1866250608237467,-2.3962663086491625,0.0
14,3.151189920349067,-2.4407757964996204,0.0
15,3.311834415364584,-2.630506858798161,0.0
16,3.202746024242239,-2.914119631321546,0.0
17,3.2265079161949446,-3.1536765223603425,0.0
18,3.2054868171994775,-3.197355365168268,0.0
19,3.2054868171992656,-3.1973553651687143,0.0
20,3.485665953146519,-3.1092375083190698,0.0
21,3.4242872087302567,-3.224063051084939,0.0
22,3.378249519615317,-3.414054844712969,0.0
23,3.7406505938984473,-3.3222711567828997,0.0
24,3.602438453338754,-3.673882503774763,0.0
