iteration,theta0,theta1,v_gamma
0,0.0,0.0,-3.231135514350523
1,0.2194951416825926,0.1097475708412963,-3.1559477431420886
2,0.21949514168259052,0.10974757084129408,-3.1559477431420886
3,0.21949514168259052,0.07618287067949825,-3.1495486456314996
4,0.2774022455388182,0.038387753149392134,-3.1227472454865244
5,0.33297554708013566,0.011896523767625743,-3.0988914170793533
6,0.3840705603121206,-0.011538764815183861,-3.0773765641223765
7,0.5416229806268577,0.06043233595093983,-3.0568858763874194
8,0.5242867745814698,0.014475882893115452,-3.0454646784585684
9,0.46928046606495843,-0.08721793917938946,-3.0340202624921417
10,0.46928046606495843,-0.10866387772125488,-3.0296351483532113
11,0.5791806489742517,-0.07163855472133729,-3.006660656444459
12,0.6591683981041478,-0.07631754165843499,-2.9869499152124406
13,0.762562671783229,-0.06115527760262726,-2.9740125484138638
14,0.8513972723865076,-0.039496514203452286,-2.9721932490746443
15,0.8386708862071734,-0.09072794579088277,-2.952136280600379
16,0.7847959241614096,-0.20009336238830122,-2.9219220890568427
17,0.7678505096189234,-0.21703877693078744,-2.920403704685689
18,0.8792838048960914,-0.22090182696786598,-2.8979488825623294
19,0.8856111677673607,-0.21802180722302633,-2.8979339356033056
20,0.8211944167452843,-0.29562828262995783,-2.8863534468779197
21,0.7695685651668651,-0.3713099721469091,-2.882346683860819
22,0.7637283614778606,-0.3807789201782105,-2.8823139557404147
23,0.892630497718796,-0.3270551649661252,-2.8621156751878307
24,0.8229030240947519,-0.39678263859016927,-2.8616872299409386
25,0.8357775395853919,-0.4031724892795102,-2.8567576271693262
26,0.9982975542118484,-0.3579998369477789,-2.8334610213302724
27,1.0118774821300736,-0.3670617342636957,-2.828410428746981
28,0.9967056324636883,-0.4374562422804306,-2.8103958744668254
29,0.9967056324636883,-0.4689246866475055,-2.802155299521768
30,0.9967056324636883,-0.5499709084297916,-2.783545682807281
31,0.9498198851085039,-0.6378688222320619,-2.782210258267529
32,0.9866330415453859,-0.631139802511721,-2.7716667608638774
33,1.1444377389833345,-0.5795231642957004,-2.7448846003957375
34,1.128110771802289,-0.6250211074951704,-2.7370770351501106
35,1.1413921248761132,-0.6334306950086502,-2.732422160022519
36,1.1478229487528577,-0.6656591441538822,-2.723988664346845
37,1.1743123512056588,-0.6570955379561334,-2.720406569926258
38,1.1862398957129627,-0.6693670762252566,-2.7152659843064866
39,1.1979140632725715,-0.6683564957404229,-2.7132504972247884
40,1.1810358576912887,-0.7038556020362378,-2.708851255425529
41,1.169329353777154,-0.7320539374347309,-2.7059204161808186
42,1.1518384803799013,-0.7586318757999647,-2.7055281458696405
43,1.151838480379899,-0.7586318757999678,-2.7055281458696405
44,1.1308823032588775,-0.8197097311162588,-2.7025932254082536
45,1.1308823032588775,-0.8394048073718964,-2.70030494236093
46,1.1308823032588773,-0.8394048073718969,-2.70030494236093
47,1.1308823032588773,-0.839404807371897,-2.70030494236093
48,1.1493477878550082,-0.8301720650738316,-2.695861009101448
