theta0,theta1,v_gamma
-10.0,-10.0,679.3549013162495
-9.5,-10.0,679.3549004125393
-9.0,-10.0,679.3548989225718
-8.5,-10.0,679.354896466029
-8.0,-10.0,679.3548924158812
-7.5,-10.0,679.3548857383264
-7.0,-10.0,679.3548747288906
-6.5,-10.0,679.3548565774098
-6.0,-10.0,679.3548266506642
-5.5,-10.0,679.3547773098235
-5.0,-10.0,679.3546959605612
-4.5,-10.0,679.3545618383496
-4.0,-10.0,679.3543407083846
-3.5,-10.0,679.3539761271659
-3.0,-10.0,679.3533750356676
-2.5,-10.0,679.3523840068112
-2.0,-10.0,679.350750085956
-1.5,-10.0,679.3480562317226
-1.0,-10.0,679.3436148871185
-0.5,-10.0,679.336292538613
0.0,-10.0,679.3242205455222
0.5,-10.0,679.3043186034021
1.0,-10.0,679.2715096794482
1.5,-10.0,679.2174273208843
2.0,-10.0,679.1282888782262
2.5,-10.0,678.9814012888087
3.0,-10.0,678.7394332934626
3.5,-10.0,678.3410618222211
4.0,-10.0,677.6857932714674
4.5,-10.0,676.6095908369606
5.0,-10.0,674.8464337956098
5.5,-10.0,671.9695392805871
6.0,-10.0,667.3063595347694
6.5,-10.0,659.8282772480281
7.0,-10.0,648.0396001313106
7.5,-10.0,629.9479155713915
8.0,-10.0,603.2963041586598
8.5,-10.0,566.3102648018659
9.0,-10.0,519.0202170866288
9.5,-10.0,464.50668880831347
10.0,-10.0,408.69041433435973
-10.0,-9.5,679.3548415158049
-9.5,-9.5,679.3548400258263
-9.0,-9.5,679.3548375692657
-8.5,-9.5,679.3548335190882
-8.0,-9.5,679.3548268414845
-7.5,-9.5,679.3548158319682
-7.0,-9.5,679.3547976803543
-6.5,-9.5,679.3547677533895
-6.0,-9.5,679.3547184121875
-5.5,-9.5,679.3546370623294
-5.0,-9.5,679.3545029391354
-4.5,-9.5,679.3542818075508
-4.0,-9.5,679.3539172236619
-3.5,-9.5,679.3533161277611
-3.0,-9.5,679.3523250916464
-2.5,-9.5,679.350691158824
-2.0,-9.5,679.3479972848606
-1.5,-9.5,679.3435559077278
-1.0,-9.5,679.3362335055924
-0.5,-9.5,679.3241614240851
0.0,-9.5,679.3042593362011
0.5,-9.5,679.2714501719512
1.0,-9.5,679.2173674172824
1.5,-9.5,679.1282283217649
2.0,-9.5,678.9813396565271
2.5,-9.5,678.7393698889821
3.0,-9.5,678.3409955000255
3.5,-9.5,677.6857221500156
4.0,-9.5,676.6095118332883
4.5,-9.5,674.8463418783888
5.0,-9.5,671.9694262926864
5.5,-9.5,667.3062123932468
6.0,-9.5,659.8280753362393
6.5,-9.5,648.0393118780033
7.0,-9.5,629.9474948126722
7.5,-9.5,603.2956882007185
8.0,-9.5,566.3093779542585
8.5,-9.5,519.018983881708
9.0,-9.5,464.50505634054315
9.5,-9.5,408.6883730622891
10.0,-9.5,358.06115666004297
-10.0,-9.0,679.3547429290837
-9.5,-9.0,679.3547404724933
-9.0,-9.0,679.3547364222669
-8.5,-9.0,679.3547297445826
-8.0,-9.0,679.3547187349334
-7.5,-9.0,679.3547005831002
-7.0,-9.0,679.3546706557742
-6.5,-9.0,679.3546213139764
-6.0,-9.0,679.3545399631361
-5.5,-9.0,679.3544058383227
-5.0,-9.0,679.3541847040681
-4.5,-9.0,679.3538201157769
-4.0,-9.0,679.3532190126183
-3.5,-9.0,679.3522279645375
-3.0,-9.0,679.3505940119863
-2.5,-9.0,679.3479001054961
-2.0,-9.0,679.3434586747363
-1.5,-9.0,679.3361361841875
-1.0,-9.0,679.3240639569174
-0.5,-9.0,679.304161628728
0.0,-9.0,679.2713520683277
0.5,-9.0,679.2172686606434
1.0,-9.0,679.1281284888266
1.5,-9.0,678.9812380499995
2.0,-9.0,678.7392653608197
2.5,-9.0,678.3408861617402
3.0,-9.0,677.6856048997115
3.5,-9.0,676.6093815884133
4.0,-9.0,674.8461903443321
4.5,-9.0,671.9692400216612
5.0,-9.0,667.305969816811
5.5,-9.0,659.8277424659445
6.0,-9.0,648.0388366657138
6.5,-9.0,629.9468011529314
7.0,-9.0,603.2946727369709
7.5,-9.0,566.3079159037936
8.0,-9.0,519.0169508291149
8.5,-9.0,464.50236506614317
9.0,-9.0,408.6850078361159
9.5,-9.0,358.0571801416851
10.0,-9.0,316.9416139424742
-10.0,-8.5,679.3545804075649
-9.5,-8.5,679.3545763572578
-9.0,-8.5,679.3545696794406
-8.5,-8.5,679.3545586695723
-8.0,-8.5,679.3545405173778
-7.5,-8.5,679.354510589456
-7.0,-8.5,679.3544612466761
-6.5,-8.5,679.3543798942167
-6.0,-8.5,679.3542457667335
-5.5,-8.5,679.3540246280775
-5.0,-8.5,679.3536600325293
-4.5,-8.5,679.353058917406
-4.0,-8.5,679.3520678495989
-3.5,-8.5,679.3504338645248
-3.0,-8.5,679.3477399044137
-2.5,-8.5,679.3432983852495
-2.0,-8.5,679.3359757489504
-1.5,-8.5,679.3239032813887
-1.0,-8.5,679.3040005570538
-0.5,-8.5,679.2711903435962
0.0,-8.5,679.2171058594095
0.5,-8.5,679.1279639133033
1.0,-8.5,678.9810705506978
1.5,-8.5,678.7390930451763
2.0,-8.5,678.3407059165639
2.5,-8.5,677.6854116114996
3.0,-8.5,676.6091668785307
3.5,-8.5,674.8459405390361
4.0,-8.5,671.9689329521512
4.5,-8.5,667.30556992731
5.0,-8.5,659.8271937261809
5.5,-8.5,648.0380532738535
6.0,-8.5,629.945657648425
6.5,-8.5,603.2929987355792
7.0,-8.5,566.305505700062
7.5,-8.5,519.013599323087
8.0,-8.5,464.49792847537066
8.5,-8.5,408.67946022960393
9.0,-8.5,358.0506248143455
9.5,-8.5,316.9342402309714
10.0,-8.5,286.43756906934425
-10.0,-8.0,679.3543125106153
-9.5,-8.0,679.354305832579
-9.0,-8.0,679.3542948223494
-8.5,-8.0,679.3542766695595
-8.0,-8.0,679.3542467406558
-7.5,-8.0,679.354197396257
-7.0,-8.0,679.3541160411283
-6.5,-8.0,679.3539819092445
-6.0,-8.0,679.3537607633328
-5.5,-8.0,679.3533961558228
-5.0,-8.0,679.3527950209773
-4.5,-8.0,679.3518039206539
-4.0,-8.0,679.3501698819698
-3.5,-8.0,679.3474758334717
-3.0,-8.0,679.3430341685843
-2.5,-8.0,679.3357112920341
-2.0,-8.0,679.3236384283829
-1.5,-8.0,679.3037350510527
-1.0,-8.0,679.2709237611137
-0.5,-8.0,679.2168375024509
0.0,-8.0,679.1276926316566
0.5,-8.0,678.9807944495772
1.0,-8.0,678.738809004934
1.5,-8.0,678.3404088055036
2.0,-8.0,677.6850930006668
2.5,-8.0,676.6088129568209
3.0,-8.0,674.8455287670378
3.5,-8.0,671.968426787439
4.0,-8.0,667.3049107607446
4.5,-8.0,659.8262891990441
5.0,-8.0,648.0367619528247
5.5,-8.0,629.9437727278755
6.0,-8.0,603.2902393589387
6.5,-8.0,566.3015327882663
7.0,-8.0,519.0080747951572
7.5,-8.0,464.4906153243777
8.0,-8.0,408.67031571162784
8.5,-8.0,358.0398191978031
9.0,-8.0,316.9220856130759
9.5,-8.0,286.4244138758612
10.0,-8.0,265.29152665513936
-10.0,-7.5,679.3538709746483
-9.5,-7.5,679.3538599638234
-9.0,-7.5,679.3538418100519
-8.5,-7.5,679.3538118795299
-8.0,-7.5,679.3537625324628
-7.5,-7.5,679.3536811729351
-7.0,-7.5,679.3535470337983
-6.5,-7.5,679.3533258759288
-6.0,-7.5,679.3529612487033
-5.5,-7.5,679.3523600813527
-5.0,-7.5,679.351368927438
-4.5,-7.5,679.3497348003968
-4.0,-7.5,679.3470406062239
-3.5,-7.5,679.3425987011634
-3.0,-7.5,679.335275428645
-2.5,-7.5,679.3232019121805
-2.0,-7.5,679.3032974586193
-1.5,-7.5,679.2704843944829
-1.0,-7.5,679.2163952112257
-0.5,-7.5,679.1272455201208
0.0,-7.5,678.9803393948484
0.5,-7.5,678.7383408653801
1.0,-7.5,678.3399191233443
1.5,-7.5,677.6845678837619
2.0,-7.5,676.6082296424645
2.5,-7.5,674.8448501070075
3.0,-7.5,671.9675925545131
3.5,-7.5,667.3038243585537
4.0,-7.5,659.8247984070127
4.5,-7.5,648.0346336683083
5.0,-7.5,629.9406661051761
5.5,-7.5,603.2856915056568
6.0,-7.5,566.2949848528792
6.5,-7.5,518.9989695711331
7.0,-7.5,464.47856218989114
7.5,-7.5,408.6552442184936
8.0,-7.5,358.02200997308995
8.5,-7.5,316.9020530382984
9.0,-7.5,286.4027322072618
9.5,-7.5,265.2687022726288
10.0,-7.5,251.30535564574308
-10.0,-7.0,679.3531434162152
-9.5,-7.0,679.3531252608263
-9.0,-7.0,679.3530953276376
-8.5,-7.0,679.353045976174
-8.0,-7.0,679.3529646093976
-7.5,-7.0,679.3528304583097
-7.0,-7.0,679.3526092807363
-6.5,-7.0,679.3522446210243
-6.0,-7.0,679.351643400113
-5.5,-7.0,679.3506521578914
-5.0,-7.0,679.3490178852581
-4.5,-7.0,679.3463234510467
-4.0,-7.0,679.3418811502355
-3.5,-7.0,679.3345572252517
-3.0,-7.0,679.3224826331
-2.5,-7.0,679.3025764061559
-2.0,-7.0,679.2697604185468
-1.5,-7.0,679.2156664162258
-1.0,-7.0,679.1265087823488
-0.5,-7.0,678.9795895685077
0.0,-7.0,678.7375694782336
0.5,-7.0,678.3391122389006
1.0,-7.0,677.6837026109439
1.5,-7.0,676.6072684735283
2.0,-7.0,674.8437318301601
2.5,-7.0,671.9662179290386
3.0,-7.0,667.3020342156801
3.5,-7.0,659.8223419219707
4.0,-7.0,648.0311267411385
4.5,-7.0,629.9355470999557
5.0,-7.0,603.2781976813511
5.5,-7.0,566.2841953497201
6.0,-7.0,518.9839662399203
6.5,-7.0,464.4587013750033
7.0,-7.0,408.6304098373989
7.5,-7.0,357.99266443515364
8.0,-7.0,316.869043926865
8.5,-7.0,286.3670057655635
9.0,-7.0,265.2310928991931
9.5,-7.0,251.26650221101823
10.0,-7.0,242.3281200875433
-10.0,-6.5,679.3519449919308
-9.5,-6.5,679.3519150543497
-9.0,-6.5,679.3518656956443
-8.5,-6.5,679.351784316928
-8.0,-6.5,679.351650146155
-7.5,-6.5,679.3514289361258
-7.0,-6.5,679.3510642229037
-6.5,-6.5,679.3504629137692
-6.0,-6.5,679.3494715260928
-5.5,-6.5,679.3478370136463
-5.0,-6.5,679.3451421840537
-4.5,-6.5,679.3406992313792
-4.0,-6.5,679.3333742316828
-3.5,-6.5,679.3212978677053
-3.0,-6.5,679.3013887197219
-2.5,-6.5,679.2685679166948
-2.0,-6.5,679.2144659766202
-1.5,-6.5,679.1252952597525
-1.0,-6.5,678.9783544869869
-0.5,-6.5,678.7362988826862
0.0,-6.5,678.3377831737404
0.5,-6.5,677.6822773709789
1.0,-6.5,676.6056852776244
1.5,-6.5,674.8418898529
2.0,-6.5,671.963953705406
2.5,-6.5,667.2990855697576
3.0,-6.5,659.8182957060465
3.5,-6.5,648.0253502823698
4.0,-6.5,629.92711529594
4.5,-6.5,603.265854178043
5.0,-6.5,566.2664233467339
5.5,-6.5,518.9592534016007
6.0,-6.5,464.4259874996476
6.5,-6.5,408.58950371888085
7.0,-6.5,357.9443277341819
7.5,-6.5,316.8146727460688
8.0,-6.5,286.30815871587214
8.5,-6.5,265.1691443657756
9.0,-6.5,251.2025045136477
9.5,-6.5,242.26281077203413
10.0,-6.5,236.65639667219767
-10.0,-6.0,679.3499721541735
-9.5,-6.0,679.3499227835471
-9.0,-6.0,679.3498413851763
-8.5,-6.0,679.3497071819983
-8.0,-6.0,679.3494859185427
-7.5,-6.0,679.349121117235
-7.0,-6.0,679.3485196628724
-6.5,-6.0,679.3475280357563
-6.0,-6.0,679.3458931285428
-5.5,-6.0,679.3431976480955
-5.0,-6.0,679.3387536223602
-4.5,-6.0,679.3314268535316
-4.0,-6.0,679.3193475728734
-3.5,-6.0,679.2994336164371
-3.0,-6.0,679.2666048865374
-2.5,-6.0,679.2124898797747
-2.0,-6.0,679.1232976264163
-1.5,-6.0,678.9763213645492
-1.0,-6.0,678.7342072990352
-0.5,-6.0,678.335595340668
0.0,-6.0,677.6799312202971
0.5,-6.0,676.6030791086702
1.0,-6.0,674.8388576924842
1.5,-6.0,671.9602264665201
2.0,-6.0,667.2942316730026
2.5,-6.0,659.8116350506604
3.0,-6.0,648.015841397543
3.5,-6.0,629.9132353296011
4.0,-6.0,603.2455349901088
4.5,-6.0,566.2371680648553
5.0,-6.0,518.9185725030202
5.5,-6.0,464.3721357393473
6.0,-6.0,408.52216634398127
6.5,-6.0,357.86475854813665
7.0,-6.0,316.7251699352998
7.5,-6.0,286.2112879789171
8.0,-6.0,265.0671681389826
8.5,-6.0,251.09715506724027
9.0,-6.0,242.15530221286969
9.5,-6.0,236.54753405320142
10.0,-6.0,233.07561265360292
-10.0,-5.5,679.3467277046051
-9.5,-5.5,679.3466462739127
-9.0,-5.5,679.3465120174455
-8.5,-5.5,679.3462906661308
-8.0,-5.5,679.3459257199687
-7.5,-5.5,679.3453240267816
-7.0,-5.5,679.3443320059117
-6.5,-5.5,679.3426964495119
-6.0,-5.5,679.3399998987474
-5.5,-5.5,679.3355541083857
-5.0,-5.5,679.3282244302555
-4.5,-5.5,679.3161403531761
-4.0,-5.5,679.2962184893382
-3.5,-5.5,679.2633767238594
-3.0,-5.5,679.2092402291975
-2.5,-5.5,679.1200125595232
-2.0,-5.5,678.9729779365597
-1.5,-5.5,678.7307677327841
-1.0,-5.5,678.3319974942248
-0.5,-5.5,677.676073023805
0.0,-5.5,676.5987933174824
0.5,-5.5,674.8338713671086
1.0,-5.5,671.9540970989109
1.5,-5.5,667.2862495397242
2.0,-5.5,659.8006817400117
2.5,-5.5,648.00020423222
3.0,-5.5,629.890410010726
3.5,-5.5,603.212120503895
4.0,-5.5,566.1890583561317
4.5,-5.5,518.8516736028678
5.0,-5.5,464.28357762826647
5.5,-5.5,408.41143141734204
6.0,-5.5,357.73390865990444
6.5,-5.5,316.5779844057289
7.0,-5.5,286.0519860464288
7.5,-5.5,264.8994703335706
8.0,-5.5,250.92391007162212
8.5,-5.5,241.97850660077583
9.0,-5.5,236.36851171759247
9.5,-5.5,232.89521169305746
10.0,-5.5,230.76188542084031
-10.0,-5.0,679.3414007126346
-9.5,-5.0,679.3412663686801
-9.0,-5.0,679.3410448731235
-8.5,-5.0,679.3406796891467
-8.0,-5.0,679.3400776038702
-7.5,-5.0,679.3390849365569
-7.0,-5.0,679.337448314358
-6.5,-5.0,679.3347500064048
-6.0,-5.0,679.3303013189744
-5.5,-5.0,679.32296686451
-5.0,-5.0,679.3108749129251
-4.5,-5.0,679.2909400671418
-4.0,-5.0,679.2580769005527
-3.5,-5.0,679.2039051282169
-3.0,-5.0,679.1146193139463
-2.5,-5.0,678.9674888768836
-2.0,-5.0,678.725120838497
-1.5,-5.0,678.3260907440585
-1.0,-5.0,677.6697388449759
-0.5,-5.0,676.5917571367531
0.0,-5.0,674.8256850871476
0.5,-5.0,671.9440342338846
1.0,-5.0,667.273144903989
1.5,-5.0,659.7826991855821
2.0,-5.0,647.9745319779068
2.5,-5.0,629.8529366337527
3.0,-5.0,603.1572624033307
3.5,-5.0,566.1100744321421
4.0,-5.0,518.7418425981743
4.5,-5.0,464.1381876997084
5.0,-5.0,408.22963278956547
5.5,-5.0,357.51908637350124
6.0,-5.0,316.3363431447768
6.5,-5.0,285.79045272891585
7.0,-5.0,264.6241531248966
7.5,-5.0,250.63948578537025
8.0,-5.0,241.68825310397017
8.5,-5.0,236.07460250626409
9.0,-5.0,232.59903912969293
9.5,-5.0,230.46432269010532
10.0,-5.0,229.15958332213904
-10.0,-4.5,679.3326778212227
-9.5,-4.5,679.3324560895027
-9.0,-4.5,679.3320905161588
-8.5,-4.5,679.3314877889263
-8.0,-4.5,679.3304940632098
-7.5,-4.5,679.3288556960092
-7.0,-4.5,679.3261545110623
-6.5,-4.5,679.321701080346
-6.0,-4.5,679.3143588057291
-5.5,-4.5,679.3022539614461
-5.0,-4.5,679.282297860703
-4.5,-4.5,679.2493996547015
-4.0,-4.5,679.1951701232612
-3.5,-4.5,679.1057891105418
-3.0,-4.5,678.9585017998538
-2.5,-4.5,678.7158753434704
-2.0,-4.5,678.3164197945933
-1.5,-4.5,677.6593680790492
-1.0,-4.5,676.5802370036265
-0.5,-4.5,674.812281930152
0.0,-4.5,671.9275585989911
0.5,-4.5,667.2516890667879
1.0,-4.5,659.7532568746244
1.5,-4.5,647.9324995460055
2.0,-4.5,629.7915825685224
2.5,-4.5,603.0674448381072
3.0,-4.5,565.9807563611265
3.5,-4.5,518.5620195032046
4.0,-4.5,463.9001450176473
4.5,-4.5,407.93197920805443
5.0,-4.5,357.1673641205978
5.5,-4.5,315.9407109684345
6.0,-4.5,285.36225186956756
6.5,-4.5,264.1733843032848
7.0,-4.5,250.1738062117285
7.5,-4.5,241.2130295342051
8.0,-4.5,235.59339354192275
8.5,-4.5,232.11412444519289
9.0,-4.5,229.97713192518725
9.5,-4.5,228.6710014161443
10.0,-4.5,227.8750873413718
-10.0,-4.0,679.3184565765148
-9.5,-4.0,679.318090368512
-9.0,-4.0,679.3174865949061
-8.5,-4.0,679.3164911440175
-8.0,-4.0,679.3148499325058
-7.5,-4.0,679.3121440581275
-7.0,-4.0,679.307682895968
-6.5,-4.0,679.3003278746885
-6.0,-4.0,679.2882020156146
-5.5,-4.0,679.2682112697927
-5.0,-4.0,679.2352559503822
-4.5,-4.0,679.1809322729753
-4.0,-4.0,679.0913960890492
-3.5,-4.0,678.9438530780839
-3.0,-4.0,678.700805406513
-2.5,-4.0,678.300656377022
-2.0,-4.0,677.6424639772935
-1.5,-4.0,676.5614594606762
-1.0,-4.0,674.7904351030897
-0.5,-4.0,671.9007037060447
0.0,-4.0,667.2167165625511
0.5,-4.0,659.7052666081504
1.0,-4.0,647.8639876818928
1.5,-4.0,629.6915769017149
2.0,-4.0,602.9210443434135
2.5,-4.0,565.7699709816476
3.0,-4.0,518.2689121361169
3.5,-4.0,463.51214110855403
4.0,-4.0,407.4468109509087
4.5,-4.0,356.5940652152923
5.0,-4.0,315.29583993247275
5.5,-4.0,284.6642946550646
6.0,-4.0,263.4386418471491
6.5,-4.0,249.41475958448768
7.0,-4.0,240.4384264203201
7.5,-4.0,234.80903437726167
8.0,-4.0,231.32372504482655
8.5,-4.0,229.18302256788382
9.0,-4.0,227.87462453197898
9.5,-4.0,227.07732869900406
10.0,-4.0,226.59237078938474
-10.0,-3.5,679.2954357168477
-9.5,-3.5,679.2948302500292
-9.0,-3.5,679.2938320075152
-8.5,-3.5,679.2921861934178
-8.0,-3.5,679.2894727307311
-7.5,-3.5,679.2849990577643
-7.0,-3.5,679.2776234101879
-6.5,-3.5,679.2654635455606
-6.0,-3.5,679.2454167380304
-5.5,-3.5,679.2123689992816
-5.0,-3.5,679.1578929774755
-4.5,-3.5,679.068105699795
-4.0,-3.5,678.9201489217138
-3.5,-3.5,678.6764196513776
-3.0,-3.5,678.2751484507398
-2.5,-3.5,677.6151102274162
-2.0,-3.5,676.5310741600792
-1.5,-3.5,674.7550831718419
-1.0,-3.5,671.8572478611114
-0.5,-3.5,667.1601250235689
0.0,-3.5,659.6276100863998
0.5,-3.5,647.7531236784905
1.0,-3.5,629.5297504979414
1.5,-3.5,602.6841431124807
2.0,-3.5,565.4288839111041
2.5,-3.5,517.7946139023311
3.0,-3.5,462.88428391542607
3.5,-3.5,406.66172509742285
4.0,-3.5,355.66636878473423
4.5,-3.5,314.2523274598416
5.0,-3.5,283.53487959673356
5.5,-3.5,262.24970192832365
6.0,-3.5,248.18649132825698
6.5,-3.5,239.18498508770935
7.0,-3.5,233.53980607314705
7.5,-3.5,230.04472259837237
8.0,-3.5,227.89801677173517
8.5,-3.5,226.5859494865845
9.0,-3.5,225.7864177307072
9.5,-3.5,225.30009981335678
10.0,-3.5,225.00462460121662
-10.0,-3.0,679.2585960829357
-9.5,-3.0,679.2575933757903
-9.0,-3.0,679.2559402008028
-8.5,-3.0,679.253214602177
-8.0,-3.0,679.2487209207449
-7.5,-3.0,679.2413122856459
-7.0,-3.0,679.2290980361253
-6.5,-3.0,679.2089615694149
-6.0,-3.0,679.1757660249291
-5.5,-3.0,679.1210463595683
-5.0,-3.0,679.0308575090341
-4.5,-3.0,678.8822389954922
-4.0,-3.0,678.6374196480197
-3.5,-3.0,678.2343537652708
-3.0,-3.0,677.5713635264774
-2.5,-3.0,676.4824791168362
-2.0,-3.0,674.6985450236598
-1.5,-3.0,671.7877491685789
-1.0,-3.0,667.0696184881715
-0.5,-3.0,659.5034144405304
0.0,-3.0,647.5758194908211
0.5,-3.0,629.2709424251317
1.0,-3.0,602.3052682836873
1.5,-3.0,564.8833852450692
2.0,-3.0,517.0360713594532
2.5,-3.0,461.8801553779062
3.0,-3.0,405.4061416327167
3.5,-3.0,354.18270901261644
4.0,-3.0,312.5834437319884
4.5,-3.0,281.7286123385298
5.0,-3.0,260.3482368898466
5.5,-3.0,246.22212869721588
6.0,-3.0,237.1803632947967
6.5,-3.0,231.509936263995
7.0,-3.0,227.99922105741848
7.5,-3.0,225.8429141068076
