theta0,theta1,v_gamma
-10.0,-10.0,62.57216621793321
-9.5,-10.0,62.572166138903896
-9.0,-10.0,62.5721660086066
-8.5,-10.0,62.572165793782794
-8.0,-10.0,62.57216543959823
-7.5,-10.0,62.57216485564658
-7.0,-10.0,62.57216389287308
-6.5,-10.0,62.57216230552816
-6.0,-10.0,62.572159688438845
-5.5,-10.0,62.572155373589
-5.0,-10.0,62.57214825960634
-4.5,-10.0,62.57213653063717
-4.0,-10.0,62.57211719285103
-3.5,-10.0,62.57208531027238
-3.0,-10.0,62.572032744897164
-2.5,-10.0,62.57194607954478
-2.0,-10.0,62.57180319334959
-1.5,-10.0,62.57156761605578
-1.0,-10.0,62.5711792207822
-0.5,-10.0,62.57053888160112
0.0,-10.0,62.56948318526372
0.5,-10.0,62.56774275718467
1.0,-10.0,62.56487360506057
1.5,-10.0,62.56014406613468
2.0,-10.0,62.55234880177464
2.5,-10.0,62.539503176908426
3.0,-10.0,62.51834222576904
3.5,-10.0,62.483502299834555
4.0,-10.0,62.42619266662709
4.5,-10.0,62.33206137695965
5.0,-10.0,62.177826327402485
5.5,-10.0,61.92611597687421
6.0,-10.0,61.51798691138156
6.5,-10.0,60.863157400199675
7.0,-10.0,59.8300237786782
7.5,-10.0,58.242505137150246
8.0,-10.0,55.89943571693027
8.5,-10.0,52.63904395128898
9.0,-10.0,48.455407346501715
9.5,-10.0,43.61181914818022
10.0,-10.0,38.62912417906914
-10.0,-9.5,62.57210724218488
-9.5,-9.5,62.57210711188667
-9.0,-9.5,62.57210689706139
-8.5,-9.5,62.57210654287435
-8.0,-9.5,62.572105958918634
-7.5,-9.5,62.57210499613844
-7.0,-9.5,62.572103408782496
-6.5,-9.5,62.57210079167498
-6.0,-9.5,62.57209647679513
-5.5,-9.5,62.572089362762995
-5.0,-9.5,62.572077633712276
-4.5,-9.5,62.57205829579167
-4.0,-9.5,62.57202641299131
-3.5,-9.5,62.571973847250604
-3.0,-9.5,62.57188718129559
-2.5,-9.5,62.57174429410684
-2.0,-9.5,62.57150871517495
-1.5,-9.5,62.57112031720067
-1.0,-9.5,62.570479973567004
-0.5,-9.5,62.56942426988885
0.0,-9.5,62.56768382970776
0.5,-9.5,62.56481465763308
1.0,-9.5,62.56008508582045
1.5,-9.5,62.55228976725619
2.0,-9.5,62.5394440530682
2.5,-9.5,62.51828295478659
3.0,-9.5,62.48344278659342
3.5,-9.5,62.426132754884634
4.0,-9.5,62.332000810677286
4.5,-9.5,62.177764688649965
5.0,-9.5,61.92605258785912
5.5,-9.5,61.5179206844497
6.0,-9.5,60.863086619924715
6.5,-9.5,59.82994581453056
7.0,-9.5,58.242416134225486
7.5,-9.5,55.89933042152209
8.0,-9.5,52.63891598481595
8.5,-9.5,48.455250289200485
9.0,-9.5,43.611628411091395
9.5,-9.5,38.62889879491674
10.0,-9.5,34.08885112658916
-10.0,-9.0,62.572010015185924
-9.5,-9.0,62.57200980035817
-9.0,-9.0,62.57200944616707
-8.5,-9.0,62.572008862204676
-8.0,-9.0,62.57200789941344
-7.5,-9.0,62.57200631203929
-7.0,-9.0,62.57200369490178
-6.5,-9.0,62.57199937997246
-6.0,-9.0,62.57199226585879
-5.5,-9.0,62.57198053667361
-5.0,-9.0,62.571961198531326
-4.5,-9.0,62.571929315365495
-4.0,-9.0,62.57187674902219
-3.5,-9.0,62.57179008207369
-3.0,-9.0,62.57164719324698
-2.5,-9.0,62.57141161161456
-2.0,-9.0,62.57102320918793
-1.5,-9.0,62.57038285821376
-1.0,-9.0,62.56932714243368
-0.5,-9.0,62.567586682301275
0.0,-9.0,62.564717477336195
0.5,-9.0,62.559987851306715
1.0,-9.0,62.5521924433818
1.5,-9.0,62.53934658193858
2.0,-9.0,62.51818524107939
2.5,-9.0,62.48334467350032
3.0,-9.0,62.42603398482519
3.5,-9.0,62.331900961548115
4.0,-9.0,62.17766307145438
4.5,-9.0,61.9259480851935
5.0,-9.0,61.51781150321526
5.5,-9.0,60.86296993208225
6.0,-9.0,59.82981728340825
6.5,-9.0,58.242269404656106
7.0,-9.0,55.89915683228398
7.5,-9.0,52.638705020226524
8.0,-9.0,48.45499136568489
8.5,-9.0,43.61131396332485
9.0,-9.0,38.628527228255166
9.5,-9.0,34.088427515661465
10.0,-9.0,30.386853367506355
-10.0,-8.5,62.571849735543715
-9.5,-8.5,62.57184938134593
-9.0,-8.5,62.57184879737248
-8.5,-8.5,62.57184783456306
-8.0,-8.5,62.57184624715892
-7.5,-8.5,62.571843629971944
-7.0,-8.5,62.57183931496109
-6.5,-8.5,62.571832200712976
-6.0,-8.5,62.57182047130615
-5.5,-8.5,62.571801132798434
-5.0,-8.5,62.57176924903009
-4.5,-8.5,62.571716681693424
-4.0,-8.5,62.57163001310715
-3.5,-8.5,62.57148712158024
-3.0,-8.5,62.57125153549598
-2.5,-8.5,62.5708631257296
-2.0,-8.5,62.57022276265455
-1.5,-8.5,62.56916702692433
-1.0,-8.5,62.567426533902
-0.5,-8.5,62.564557274716805
0.0,-8.5,62.559827559310335
0.5,-8.5,62.55203200407355
1.0,-8.5,62.539185899878724
1.5,-8.5,62.51802415912812
2.0,-8.5,62.48318293315771
2.5,-8.5,62.42587116146747
3.0,-8.5,62.33173635933397
3.5,-8.5,62.1774955545664
4.0,-8.5,61.92577581158141
4.5,-8.5,61.517631516939176
5.0,-8.5,60.86277757109329
5.5,-8.5,59.82960539866279
6.0,-8.5,58.242027519602125
6.5,-8.5,55.89887066881734
7.0,-8.5,52.63835724314709
7.5,-8.5,48.45456452787153
8.0,-8.5,43.61079559326959
8.5,-8.5,38.627914697172486
9.0,-8.5,34.08772918912407
9.5,-8.5,30.38608509135172
10.0,-8.5,27.632080671586035
-10.0,-8.0,62.57158553501307
-9.5,-8.0,62.57158495102144
-9.0,-8.0,62.57158398818202
-8.5,-8.0,62.57158240072843
-8.0,-8.0,62.57157978345994
-7.5,-8.0,62.57157546831468
-7.0,-8.0,62.57156835384495
-6.5,-8.0,62.57155662407276
-6.0,-8.0,62.57153728496267
-5.5,-8.0,62.571505400201175
-5.0,-8.0,62.571452831227084
-4.5,-8.0,62.57136615994117
-4.0,-8.0,62.571223263963304
-3.5,-8.0,62.57098767054074
