iteration,theta0,theta1,gain_plus_bias
0,0.0,0.0,2.04
1,-0.72,-0.8200000000000001,2.4625295235720976
2,-1.248512492339895,-1.3829466128329369,2.635571869569022
3,-1.4947920448158694,-1.6396406857636645,2.6985661905016065
4,-1.654437254203834,-1.8048466650548367,2.7348683090649426
5,-1.7732172862362825,-1.9272701881452294,2.7596638521612413
6,-1.868042744164903,-2.0247384485985824,2.7781336875787535
7,-1.9470674007604558,-2.10580134999019,2.7926458830733223
8,-2.0148633838948546,-2.175235509614818,2.8044718424443573
9,-2.0742580374602824,-2.2359865104703047,2.8143685775905207
10,-2.1271245047600424,-2.290001500551176,2.8228208283347405
11,-2.1747691004148884,-2.33863591337289,2.830156276078176
12,-2.2181397859476406,-2.382871823997433,2.8366059509147945
13,-2.2579466635973886,-2.4234438983687556,2.8423383193697602
14,-2.2947356463601603,-2.4609162661838138,2.8474796660920716
15,-2.328935597937542,-2.495731636641383,2.852126865039736
16,-2.3608896543584463,-2.5282438897966735,2.856355698343808
17,-2.390876705609375,-2.55874040270854,2.8602264549691045
18,-2.419126532845916,-2.5874577650598822,2.8637878053424215
19,-2.445830727414612,-2.6145931044859227,2.867079548402088
20,-2.4711507296681106,-2.6403124171747074,2.870134600774097
21,-2.495223854766465,-2.6647568073258734,2.872980464238013
22,-2.5181678822845996,-2.68804723593028,2.8756403263840347
23,-2.5400846022104493,-2.7102881871923046,2.8781338984705775
24,-2.5610625900529826,-2.7315705360188174,2.8804780617953583
25,-2.5811794040246934,-2.75197381696397,2.882687372401651
26,-2.6005033431156015,-2.771568038687486,2.8847744595222284
27,-2.619094867436937,-2.7904151490630786,2.886750343307807
28,-2.6370077558938774,-2.8085702287312238,2.88862469053572
29,-2.6542900574630157,-2.8260824713885957,2.8904060221579013
30,-2.6709848787570625,-2.84299599500195,2.8921018830842518
31,-2.687131040595979,-2.8593505178019387,2.893718982085311
32,-2.7027636289144197,-2.8751819252534783,2.8952633078538965
33,-2.717914459794917,-2.8905227484596283,2.896740225896125
34,-2.732612474219723,-2.9054025701106583,2.898154559895085
35,-2.746884074925486,-2.9198483707690084,2.899510660412553
36,-2.76075341526977,-2.9338848257202352,2.9008124631995273
37,-2.7742426480932605,-2.9475345606292667,2.902063538928099
38,-2.7873721410525274,-2.9608183726815067,2.9032671358011983
39,-2.800160663706814,-2.9737554226573026,2.9044262162180523
40,-2.8126255506951745,-2.9863634024100003,2.905543488453587
41,-2.824782844582468,-2.9986586814353635,2.906621434135724
42,-2.8366474213426387,-3.0106564355904393,2.9076623321653807
43,-2.8482331009537605,-3.022370760510285,2.908668279612231
44,-2.8595527451771554,-3.0338147718561577,2.9096412100290125
45,-2.8706183442637982,-3.0450006941893966,2.910582909553878
46,-2.8814410940605395,-3.0559399399862186,2.9114950311104675
47,-2.8920314647650236,-3.0666431800781475,2.912379106966288
48,-2.902399262392544,-3.0771204066115514,2.913236559869619
49,-2.9125536838633335,-3.0873809894603763,2.914068712951673
50,-2.9225033664892712,-3.097433726892808,2.914876798552946
51,-2.932256432530168,-3.107286891180561,2.9156619661095253
52,-2.941820529398007,-3.116948269745039,2.9164252892156917
53,-2.9512028660098344,-3.126425202354668,2.917167771962786
54,-2.960410245724011,-3.1357246148198543,2.9178903546406056
55,-2.9694490962383258,-3.144853049574172,2.9185939188758563
56,-2.978325496780404,-3.1538166934809886,2.9192792922723636
57,-2.9870452028796373,-3.1626214031623703,2.9199472526092367
58,-2.9956136689744386,-3.1712727281106945,2.92059853164602
59,-3.0040360690780608,-3.1797759318119962,2.921233818577676
60,-3.012317315699801,-3.1881360110829315,2.9218537631769204
61,-3.0204620771955066,-3.1963577137997183,2.922458978656886
62,-3.028474793701397,-3.2044455551769664,2.923050044283104
63,-3.036359691787861,-3.2124038327365043,2.9236275077604055
