method_name,samples_to_converge
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,1104
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,2672
discounting_free_vanilla_sampling,1760
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,4672
discounting_free_vanilla_sampling,2000
discounting_free_vanilla_sampling,2672
discounting_free_vanilla_sampling,1552
discounting_free_vanilla_sampling,1328
discounting_free_vanilla_sampling,1776
discounting_free_natural_sampling,1344
discounting_free_natural_sampling,1552
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,848
discounting_free_natural_sampling,1296
discounting_free_natural_sampling,1536
discounting_free_natural_sampling,880
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1328
discounting_free_natural_sampling,2784
discounting_free_natural_sampling,3296
discounting_free_natural_sampling,1312
discounting_free_natural_sampling,1344
discounting_free_natural_sampling,1088
discounting_free_natural_sampling,1312
discounting_free_natural_sampling,1088
discounting_free_natural_sampling,1392
discounting_free_natural_sampling,848
discounting_free_natural_sampling,1328
discounting_free_natural_sampling,1360
discounting_free_natural_sampling,3472
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1328
discounting_free_natural_sampling,1552
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1344
discounting_free_natural_sampling,880
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1088
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1088
discounting_free_natural_sampling,848
discounting_free_natural_sampling,1776
discounting_free_natural_sampling,1536
discounting_free_natural_sampling,1120
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,912
discounting_free_natural_sampling,864
discounting_free_natural_sampling,880
discounting_free_natural_sampling,624
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1776
discounting_free_natural_sampling,1312
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1328
discounting_free_natural_sampling,1520
discounting_free_natural_sampling,624
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1824
discounting_free_natural_sampling,1360
discounting_free_natural_sampling,848
discounting_free_natural_sampling,832
discounting_free_natural_sampling,832
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1328
discounting_free_natural_sampling,832
discounting_free_natural_sampling,1328
discounting_free_natural_sampling,1120
discounting_free_natural_sampling,1088
discounting_free_natural_sampling,880
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1328
discounting_free_natural_sampling,1328
discounting_free_natural_sampling,880
discounting_free_natural_sampling,1120
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,832
discounting_free_natural_sampling,1344
discounting_free_natural_sampling,864
discounting_free_natural_sampling,1088
discounting_free_natural_sampling,848
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1328
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1088
discounting_free_natural_sampling,1088
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1136
discounting_free_natural_sampling,1120
discounting_free_natural_sampling,1248
discounting_free_natural_sampling,1312
discounting_free_natural_sampling,1328
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1120
discounting_free_natural_sampling,1120
discounting_free_natural_sampling,1888
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,624
discounting_free_natural_sampling,1344
discounting_free_natural_sampling,1776
