theta0,theta1,v_gamma
-10.0,-10.0,212.63911581423255
-9.5,-10.0,212.63911581423235
-9.0,-10.0,212.63911581423122
-8.5,-10.0,212.639115814229
-8.0,-10.0,212.63911581422207
-7.5,-10.0,212.6391158142032
-7.0,-10.0,212.6391158141501
-6.5,-10.0,212.63911581400143
-6.0,-10.0,212.63911581357203
-5.5,-10.0,212.63911581229593
-5.0,-10.0,212.63911580833536
-4.5,-10.0,212.63911579536577
-4.0,-10.0,212.6391157502289
-3.5,-10.0,212.63911558322465
-3.0,-10.0,212.63911493046734
-2.5,-10.0,212.63911226361222
-2.0,-10.0,212.63910100309874
-1.5,-10.0,212.63905233212523
-1.0,-10.0,212.638838459401
-0.5,-10.0,212.63788691206003
0.0,-10.0,212.63360745983206
0.5,-10.0,212.6141411255607
1.0,-10.0,212.52436503191353
1.5,-10.0,212.10368056391036
2.0,-10.0,210.12502688554244
2.5,-10.0,201.86661639017643
3.0,-10.0,182.00695483573085
3.5,-10.0,162.58251855555417
4.0,-10.0,154.6408916342152
4.5,-10.0,153.60318191688526
5.0,-10.0,155.27947640227768
5.5,-10.0,157.74514477726737
6.0,-10.0,159.64367591353295
6.5,-10.0,160.64315609319826
7.0,-10.0,161.07122660034238
7.5,-10.0,161.2383765206061
8.0,-10.0,161.30127199868613
8.5,-10.0,161.32460673775827
9.0,-10.0,161.3332184541044
9.5,-10.0,161.33639034756845
10.0,-10.0,161.3375577635709
-10.0,-9.5,212.63955894324963
-9.5,-9.5,212.639558943249
-9.0,-9.5,212.6395589432475
-8.5,-9.5,212.6395589432436
-8.0,-9.5,212.6395589432324
-7.5,-9.5,212.63955894320085
-7.0,-9.5,212.6395589431141
-6.5,-9.5,212.6395589428686
-6.0,-9.5,212.63955894216127
-5.5,-9.5,212.63955894005665
-5.0,-9.5,212.6395589335268
-4.5,-9.5,212.63955891214286
-4.0,-9.5,212.63955883772513
-3.5,-9.5,212.6395585623828
-3.0,-9.5,212.63955748616996
-2.5,-9.5,212.63955308927794
-2.0,-9.5,212.6395345238678
-1.5,-9.5,212.63945427921377
-1.0,-9.5,212.63910166458905
-0.5,-9.5,212.6375328546662
0.0,-9.5,212.63047770008757
0.5,-9.5,212.59839210503225
1.0,-9.5,212.45055220298718
1.5,-9.5,211.7605822786497
2.0,-9.5,208.58260778729684
2.5,-9.5,196.67200268860768
3.0,-9.5,174.6080878724903
3.5,-9.5,158.81580893981624
4.0,-9.5,153.9962595189622
4.5,-9.5,154.3211044543672
5.0,-9.5,156.53231289039684
5.5,-9.5,158.8161082290152
6.0,-9.5,160.24108359185445
6.5,-9.5,160.90592075946662
7.0,-9.5,161.1751925482933
7.5,-9.5,161.2779801991374
8.0,-9.5,161.31632396060172
8.5,-9.5,161.330503946038
9.0,-9.5,161.33573084412276
9.5,-9.5,161.33765518419517
10.0,-9.5,161.33836332323526
-10.0,-9.0,212.640289482499
-9.5,-9.0,212.6402894824982
-9.0,-9.0,212.6402894824957
-8.5,-9.0,212.64028948248895
-8.0,-9.0,212.64028948247025
-7.5,-9.0,212.6402894824187
-7.0,-9.0,212.64028948227505
-6.5,-9.0,212.64028948187052
-6.0,-9.0,212.64028948070387
-5.5,-9.0,212.6402894772351
-5.0,-9.0,212.6402894664687
-4.5,-9.0,212.64028943121298
-4.0,-9.0,212.64028930851921
-3.5,-9.0,212.64028885455718
-3.0,-9.0,212.64028708018813
-2.5,-9.0,212.64027983096167
-2.0,-9.0,212.64024922187974
-1.5,-9.0,212.64011692139812
-1.0,-9.0,212.63953556328624
-0.5,-9.0,212.63694910481036
0.0,-9.0,212.62531839700392
0.5,-9.0,212.57244254826384
1.0,-9.0,212.32917285254612
1.5,-9.0,211.20139516987504
2.0,-9.0,206.1834792048221
2.5,-9.0,190.0819728873791
3.0,-9.0,168.0035469206673
