theta0,theta1,value
-10.0,-10.0,24.851246703931665
-9.5,-10.0,24.851246712407928
-9.0,-10.0,24.85124672638148
-8.5,-10.0,24.851246749415996
-8.0,-10.0,24.851246787382653
-7.5,-10.0,24.85124684994973
-7.0,-10.0,24.851246953025488
-6.5,-10.0,24.85124712275144
-6.0,-10.0,24.85124740199146
-5.5,-10.0,24.85124786077374
-5.0,-10.0,24.851248612806327
-4.5,-10.0,24.85124984079751
-4.0,-10.0,24.851251832981408
-3.5,-10.0,24.8512550290153
-3.0,-10.0,24.851260056111464
-2.5,-10.0,24.851267678377344
-2.0,-10.0,24.851278401015346
-1.5,-10.0,24.851290910104858
-1.0,-10.0,24.85129675558069
-0.5,-10.0,24.851262819770028
0.0,-10.0,24.851073102749947
0.5,-10.0,24.850347450527632
1.0,-10.0,24.84837053069148
1.5,-10.0,24.859686614484513
2.0,-10.0,25.214601133524766
2.5,-10.0,26.44390917624566
3.0,-10.0,28.158292525531618
3.5,-10.0,29.997547357748996
4.0,-10.0,31.30951553723946
4.5,-10.0,32.17049004112129
5.0,-10.0,32.849533628380854
5.5,-10.0,33.30363616010549
6.0,-10.0,33.55744076727195
6.5,-10.0,33.71621622689845
7.0,-10.0,33.86455123429539
7.5,-10.0,34.05733926121845
8.0,-10.0,34.336785904818896
8.5,-10.0,34.739338955836864
9.0,-10.0,35.28849925048443
9.5,-10.0,35.977276744341935
10.0,-10.0,36.753784691018204
-10.0,-9.5,24.85109947061473
-9.5,-9.5,24.851099484589742
-9.0,-9.5,24.851099507628245
-8.5,-9.5,24.851099545605706
-8.0,-9.5,24.85109960820217
-7.5,-9.5,24.85109971135784
-7.0,-9.5,24.851099881301014
-6.5,-9.5,24.851100161131765
-6.0,-9.5,24.851100621520693
-5.5,-9.5,24.85110137792464
-5.0,-9.5,24.851102617816387
-4.5,-9.5,24.851104642430474
-4.0,-9.5,24.85110792698345
-3.5,-9.5,24.851113196344496
-3.0,-9.5,24.851121484603116
-2.5,-9.5,24.851134051536608
-2.0,-9.5,24.851151730024277
-1.5,-9.5,24.851172353645566
-1.0,-9.5,24.851181990435617
-0.5,-9.5,24.85112603952461
