iteration,theta0,theta1,gain_plus_bias
0,0.0,0.0,9.4375
1,2.190682371501697,-5.760106425860535,-2.012564111195693
2,6.359884357243848,-12.232365594352167,-5.1280309301119695
3,9.362354827281713,-16.608168268197588,-5.6377834917576735
4,10.52239070558694,-17.58373928872325,-5.740289050088176
5,11.10192536827736,-17.461776434734162,-5.761373667428742
6,11.10192536826916,-17.46177643471326,-5.761373667428638
7,11.101925368236362,-17.461776434629652,-5.761373667428213
8,11.101925368170765,-17.461776434462433,-5.761373667427362
9,11.101925368170637,-17.461776434462106,-5.7613736674273675
10,11.101925368154237,-17.4617764344203,-5.761373667427144
11,11.101925368146038,-17.4617764343994,-5.761373667427045
12,11.101925368129638,-17.461776434357596,-5.761373667426826
13,11.10192536812951,-17.46177643435727,-5.761373667426834
14,11.10192536812131,-17.461776434336368,-5.761373667426737
15,11.101925367990116,-17.46177643400193,-5.7613736674250315
16,11.101925367973717,-17.461776433960125,-5.761373667424821
17,11.101925367842522,-17.461776433625687,-5.761373667423122
18,11.101925367838422,-17.461776433615235,-5.7613736674230775
19,11.101925367707228,-17.461776433280797,-5.761373667421376
20,11.10192536767443,-17.461776433197187,-5.761373667420952
21,11.10192536764163,-17.461776433113577,-5.761373667420531
22,11.101925367576033,-17.46177643294636,-5.761373667419685
23,11.101925367510436,-17.46177643277914,-5.76137366741883
24,11.101925367508386,-17.461776432773913,-5.761373667418809
25,11.101925367442789,-17.461776432606694,-5.761373667417944
26,11.101925367441764,-17.461776432604083,-5.761373667417943
27,11.101925367433564,-17.461776432583182,-5.761373667417837
28,11.101925367425364,-17.46177643256228,-5.761373667417733
29,11.101925367408965,-17.461776432520477,-5.761373667417521
30,11.101925367400765,-17.461776432499576,-5.761373667417411
31,11.10192536739974,-17.461776432496965,-5.761373667417407
32,11.101925367366942,-17.461776432413355,-5.761373667416985
33,11.101925367350542,-17.46177643237155,-5.761373667416767
34,11.101925367284945,-17.46177643220433,-5.761373667415919
35,11.101925367282895,-17.461776432199105,-5.761373667415899
36,11.101925367280845,-17.46177643219388,-5.761373667415874
37,11.101925367248047,-17.46177643211027,-5.761373667415445
38,11.101925367215248,-17.46177643202666,-5.761373667415025
39,11.10192536714965,-17.46177643185944,-5.7613736674141744
40,11.101925367116852,-17.46177643177583,-5.761373667413744
41,11.101925367116596,-17.461776431775178,-5.761373667413743
42,11.101925367100197,-17.461776431733373,-5.7613736674135305
43,11.101925367096097,-17.46177643172292,-5.761373667413482
44,11.101925367079698,-17.461776431681116,-5.761373667413271
45,11.1019253670469,-17.461776431597507,-5.761373667412849
46,11.101925366981302,-17.461776431430287,-5.761373667411994
47,11.101925366948503,-17.461776431346678,-5.761373667411565
48,11.101925366948247,-17.461776431346024,-5.761373667411569
49,11.101925366915449,-17.461776431262415,-5.761373667411145
50,11.101925366911349,-17.461776431251963,-5.761373667411095
51,11.10192536689495,-17.461776431210158,-5.761373667410883
52,11.101925366829352,-17.46177643104294,-5.7613736674100355
53,11.101925366821153,-17.461776431022038,-5.761373667409938
54,11.101925366755555,-17.46177643085482,-5.761373667409076
55,11.10192536675453,-17.461776430852208,-5.761373667409064
56,11.101925366754017,-17.4617764308509,-5.761373667409066
57,11.101925366737618,-17.461776430809095,-5.761373667408849
58,11.101925366721218,-17.46177643076729,-5.761373667408637
59,11.10192536668842,-17.46177643068368,-5.761373667408218
60,11.10192536667202,-17.461776430641876,-5.761373667408
61,11.10192536666997,-17.46177643063665,-5.761373667407976
62,11.101925366668945,-17.46177643063404,-5.761373667407959
63,11.101925366636147,-17.46177643055043,-5.761373667407556
64,11.101925366504952,-17.46177643021599,-5.761373667405852
65,11.101925366373758,-17.461776429881553,-5.7613736674041505
66,11.101925366357358,-17.461776429839748,-5.761373667403939
67,11.10192536632456,-17.46177642975614,-5.761373667403511
68,11.101925366324432,-17.461776429755812,-5.761373667403514
69,11.101925366291633,-17.461776429672202,-5.761373667403092
70,11.101925366226036,-17.461776429504983,-5.761373667402232
71,11.101925366225908,-17.461776429504656,-5.761373667402234
72,11.101925366223858,-17.46177642949943,-5.761373667402215
73,11.101925366221808,-17.461776429494204,-5.761373667402184
74,11.101925366217708,-17.461776429483752,-5.761373667402129
75,11.101925366215658,-17.461776429478526,-5.761373667402099
76,11.10192536621553,-17.4617764294782,-5.761373667402109
77,11.101925366182732,-17.46177642939459,-5.76137366740168
78,11.101925366166332,-17.461776429352785,-5.761373667401466
79,11.101925366166077,-17.46177642935213,-5.761373667401472
80,11.101925366133278,-17.46177642926852,-5.761373667401043
81,11.10192536606768,-17.461776429101302,-5.761373667400198
82,11.101925366034882,-17.461776429017693,-5.761373667399779
83,11.101925366030782,-17.46177642900724,-5.761373667399733
