iteration,theta0,theta1,gain
0,0.0,0.0,1.3124999999999998
1,1.5960634297818455,-4.33454518768587,2.8637155715387808
2,5.216910211400053,-11.083284420262952,3.39692571978793
3,7.765478410820533,-15.086762142392413,3.5482337273986797
4,8.072493568072778,-14.81023973513292,3.6168433791165806
5,7.016432529668899,-11.91088754783506,3.6479723477281256
6,0.7565130400322957,1.348474605882668,3.6025507022658285
7,3.978842261590813,-4.135638139420443,3.671051873797766
8,6.4440733895837665,-2.7074468798434976,3.67679042703793
9,7.193779765816288,-3.019666829885797,3.676797086224233
