iteration,theta0,theta1,gain
0,0.0,0.0,1.3124999999999998
1,12.741965525792363,1.247469799086855,3.676799999999382
2,12.741971038184548,0.38073693957133914,3.6767999999985324
3,12.741984152753048,-0.8250221513499798,3.6767999999950876
4,12.742027945155142,-1.8842652484243092,3.676799999985833
5,12.742154241928606,-2.456649893284062,3.6767999999748935
6,12.742378066614203,-2.820025770285988,3.676799999963908
7,12.742699884322562,-3.0851405872398696,3.67679999995298
8,12.743119252195394,-3.2937839647936076,3.676799999942122
9,12.743635683831972,-3.4657899465058444,3.67679999993133
10,12.7442487071728,-3.612093248217022,3.6767999999206054
11,12.744957854975814,-3.7393578650855277,3.6767999999099636
12,12.745762652132088,-3.8519452896684916,3.676799999899393
13,12.746662606326673,-3.952866290773563,3.6767999998889116
14,12.747657201748984,-4.044286917110502,3.676799999878519
15,12.748745894961793,-4.127817778813349,3.676799999868223
16,12.749928112241369,-4.20468921334412,3.6767999998580283
17,12.751203247928157,-4.275862415418093,3.676799999847945
18,12.752570663486804,-4.342102716325521,3.6767999998379755
19,12.75402968707678,-4.404029501145216,3.6767999998281224
20,12.755579613500114,-4.462151168894658,3.6767999998184058
21,12.757219704434346,-4.516890211536017,3.6767999998088152
22,12.75894918888611,-4.568601585132032,3.67679999979936
23,12.760767263818519,-4.617586417580293,3.6767999997900516
24,12.762673094917872,-4.6641024053306435,3.676799999780895
25,12.764665817473347,-4.708371814881785,3.676799999771888
26,12.766744537349343,-4.750587722268177,3.676799999763038
27,12.768908332034137,-4.790918936631813,3.676799999754353
28,12.771156251751652,-4.829513927504917,3.6767999997458323
29,12.773487320625254,-4.86650398835204,3.6767999997374807
30,12.775900537884207,-4.902005807945473,3.676799999729302
31,12.778394879104676,-4.936123577789784,3.676799999721302
32,12.780969297478075,-4.968950732542262,3.676799999713481
33,12.78362272510049,-5.000571397531052,3.6767999997058407
34,12.786354074277376,-5.0310616005814035,3.6767999996983884
35,12.789162238838347,-5.060490292731851,3.6767999996911183
36,12.792046095457309,-5.088920212882888,3.676799999684036
37,12.79500450497354,-5.116408624145599,3.6767999996771445
38,12.79803631370968,-5.14300794405953,3.6767999996704472
39,12.801140354782904,-5.168766286504969,3.6767999996639453
40,12.804315449405838,-5.193727929737383,3.676799999657629
41,12.80756040817398,-5.217933722294944,3.6767999996515077
42,12.810874032336743,-5.241421436406309,3.676799999645584
43,12.814255115049349,-5.264226076829864,3.6767999996398495
44,12.817702442603114,-5.286380151692791,3.6767999996343166
45,12.82121479563181,-5.307913910796771,3.676799999628969
46,12.824790950292092,-5.328855555961792,3.676799999623821
47,12.828429679416038,-5.349231427248048,3.6767999996188605
48,12.832129753634172,-5.369066168295141,3.6767999996140905
49,12.835889942467452,-5.38838287352214,3.6767999996095093
50,12.839709015386902,-5.407203219521258,3.6767999996051204
51,12.843585742839737,-5.425547582635851,3.6767999996009157
52,12.847518897241024,-5.443435144427604,3.6767999995968963
53,12.851507253930027,-5.460883986497829,3.676799999593058
54,12.855549592090588,-5.477911175925705,3.6767999995894045
55,12.859644695635007,-5.494532842415401,3.67679999958593
56,12.863791354051058,-5.5107642480990675,3.6767999995826304
57,12.867988363211863,-5.526619850819268,3.676799999579503
58,12.872234526148516,-5.542113361609055,3.6767999995765486
59,12.876528653785448,-5.557257796997604,3.6767999995737646
60,12.880869565638625,-5.572065526691775,3.676799999571144
61,12.885256090476771,-5.586548317117197,3.6767999995686886
62,12.889687066945969,-5.600717371244647,3.6767999995663936
63,12.89416134415797,-5.614583365077612,3.6767999995642553
64,12.898677782242705,-5.628156481133421,3.6767999995622698
65,12.903235252865546,-5.641446439212563,3.6767999995604415
66,12.907832639709941,-5.6544625247178235,3.6767999995587597
67,12.91246883892608,-5.667213614756017,3.6767999995572196
68,12.917142759546326,-5.6797082022298335,3.6767999995558283
69,12.921853323868218,-5.691954418105065,3.6767999995545657
70,12.92659946780582,-5.7039600520189895,3.676799999553448
71,12.931380141210344,-5.715732571378391,3.676799999552461
72,12.93619430816086,-5.72727913908053,3.6767999995516014
73,12.941040947226092,-5.738606629976826,3.676799999550867
74,12.945919051698183,-5.749721646187104,3.676799999550256
75,12.950827629799416,-5.760630531361646,3.676799999549766
76,12.95576570486287,-5.771339383978777,3.6767999995493903
77,12.960732315487965,-5.781854069757361,3.6767999995491256
78,12.9657265156719,-5.792180233256024,3.6767999995489755
79,12.970747374917975,-5.802323308724208,3.6767999995489284
80,12.975793978321766,-5.812288530264143,3.6767999995489844
81,12.98086542663615,-5.822080941357431,3.6767999995491465
82,12.985960836316131,-5.831705403805089,3.6767999995494005
83,12.991079339544457,-5.841166606125547,3.676799999549749
84,12.996220084238972,-5.8504690714511485,3.6767999995501923
85,13.00138223404259,-5.859617164960243,3.676799999550722
86,13.006564968296887,-5.868615100878658,3.6767999995513327
87,13.011767482000153,-5.877466949081565,3.676799999552031
88,13.016988985750796,-5.8861766413240835,3.676799999552805
89,13.022228705676989,-5.894747977126615,3.6767999995536575
