iteration,theta0,theta1,v_gamma
0,0.0,0.0,29.03575987980656
1,1.5960634297818455,-4.33454518768587,44.08395423528142
2,5.216910211400053,-11.083284420262952,49.19196672299846
3,7.765478410820533,-15.086762142392413,50.56839626500713
4,8.072493568072778,-14.81023973513292,51.21617048786754
5,7.016432529668899,-11.91088754783506,51.55364208975999
6,0.7565130400322957,1.348474605882668,52.84494638521793
7,3.978842261590813,-4.135638139420443,54.67050695705862
8,6.4440733895837665,-2.7074468798434976,57.87630227647222
9,7.193779765816288,-3.019666829885797,58.00960641665421
