method_name,seed,tuning_samples,learning_samples,total_samples
discounting_free_vanilla_exact,42,0,150,150
discounting_free_vanilla_exact,43,0,150,150
discounting_free_vanilla_exact,44,0,150,150
discounting_free_vanilla_exact,45,0,150,150
discounting_free_vanilla_exact,46,0,150,150
discounting_free_vanilla_exact,47,0,150,150
discounting_free_vanilla_exact,48,0,150,150
discounting_free_vanilla_exact,49,0,150,150
discounting_free_vanilla_exact,50,0,150,150
discounting_free_vanilla_exact,51,0,150,150
discounting_free_vanilla_exact,52,0,150,150
discounting_free_vanilla_exact,53,0,150,150
discounting_free_vanilla_exact,54,0,150,150
discounting_free_vanilla_exact,55,0,150,150
discounting_free_vanilla_exact,56,0,150,150
discounting_free_vanilla_exact,57,0,150,150
discounting_free_vanilla_exact,58,0,150,150
discounting_free_vanilla_exact,59,0,150,150
discounting_free_vanilla_exact,60,0,150,150
discounting_free_vanilla_exact,61,0,150,150
discounting_free_vanilla_exact,62,0,150,150
discounting_free_vanilla_exact,63,0,150,150
discounting_free_vanilla_exact,64,0,150,150
discounting_free_vanilla_exact,65,0,150,150
discounting_free_vanilla_exact,66,0,150,150
discounting_free_vanilla_exact,67,0,150,150
discounting_free_vanilla_exact,68,0,150,150
discounting_free_vanilla_exact,69,0,150,150
discounting_free_vanilla_exact,70,0,150,150
discounting_free_vanilla_exact,71,0,150,150
discounting_free_vanilla_exact,72,0,150,150
discounting_free_vanilla_exact,73,0,150,150
discounting_free_vanilla_exact,74,0,150,150
discounting_free_vanilla_exact,75,0,150,150
discounting_free_vanilla_exact,76,0,150,150
discounting_free_vanilla_exact,77,0,150,150
discounting_free_vanilla_exact,78,0,150,150
discounting_free_vanilla_exact,79,0,150,150
discounting_free_vanilla_exact,80,0,150,150
discounting_free_vanilla_exact,81,0,150,150
discounting_free_vanilla_exact,82,0,150,150
discounting_free_vanilla_exact,83,0,150,150
discounting_free_vanilla_exact,84,0,150,150
discounting_free_vanilla_exact,85,0,150,150
discounting_free_vanilla_exact,86,0,150,150
discounting_free_vanilla_exact,87,0,150,150
discounting_free_vanilla_exact,88,0,150,150
discounting_free_vanilla_exact,89,0,150,150
discounting_free_vanilla_exact,90,0,150,150
discounting_free_vanilla_exact,91,0,150,150
discounting_free_vanilla_exact,92,0,150,150
discounting_free_vanilla_exact,93,0,150,150
discounting_free_vanilla_exact,94,0,150,150
discounting_free_vanilla_exact,95,0,150,150
discounting_free_vanilla_exact,96,0,150,150
discounting_free_vanilla_exact,97,0,150,150
discounting_free_vanilla_exact,98,0,150,150
discounting_free_vanilla_exact,99,0,150,150
discounting_free_vanilla_exact,100,0,150,150
discounting_free_vanilla_exact,101,0,150,150
discounting_free_vanilla_exact,102,0,150,150
discounting_free_vanilla_exact,103,0,150,150
discounting_free_vanilla_exact,104,0,150,150
discounting_free_vanilla_exact,105,0,150,150
discounting_free_vanilla_exact,106,0,150,150
discounting_free_vanilla_exact,107,0,150,150
discounting_free_vanilla_exact,108,0,150,150
discounting_free_vanilla_exact,109,0,150,150
discounting_free_vanilla_exact,110,0,150,150
discounting_free_vanilla_exact,111,0,150,150
discounting_free_vanilla_exact,112,0,150,150
discounting_free_vanilla_exact,113,0,150,150
discounting_free_vanilla_exact,114,0,150,150
discounting_free_vanilla_exact,115,0,150,150
discounting_free_vanilla_exact,116,0,150,150
discounting_free_vanilla_exact,117,0,150,150
discounting_free_vanilla_exact,118,0,150,150
discounting_free_vanilla_exact,119,0,150,150
discounting_free_vanilla_exact,120,0,150,150
discounting_free_vanilla_exact,121,0,150,150
discounting_free_vanilla_exact,122,0,150,150
discounting_free_vanilla_exact,123,0,150,150
discounting_free_vanilla_exact,124,0,150,150
discounting_free_vanilla_exact,125,0,150,150
discounting_free_vanilla_exact,126,0,150,150
discounting_free_vanilla_exact,127,0,150,150
discounting_free_vanilla_exact,128,0,150,150
discounting_free_vanilla_exact,129,0,150,150
discounting_free_vanilla_exact,130,0,150,150
discounting_free_vanilla_exact,131,0,150,150
discounting_free_vanilla_exact,132,0,150,150
discounting_free_vanilla_exact,133,0,150,150
discounting_free_vanilla_exact,134,0,150,150
discounting_free_vanilla_exact,135,0,150,150
discounting_free_vanilla_exact,136,0,150,150
discounting_free_vanilla_exact,137,0,150,150
discounting_free_vanilla_exact,138,0,150,150
discounting_free_vanilla_exact,139,0,150,150
discounting_free_vanilla_exact,140,0,150,150
discounting_free_vanilla_exact,141,0,150,150
discounting_free_vanilla_sampling,42,0,1264,1264
discounting_free_vanilla_sampling,43,0,1776,1776
discounting_free_vanilla_sampling,44,0,960,960
discounting_free_vanilla_sampling,45,0,1232,1232
discounting_free_vanilla_sampling,46,0,1200,1200
discounting_free_vanilla_sampling,47,0,1104,1104
discounting_free_vanilla_sampling,48,0,976,976
discounting_free_vanilla_sampling,49,0,960,960
discounting_free_vanilla_sampling,50,0,912,912
discounting_free_vanilla_sampling,51,0,1104,1104
discounting_free_vanilla_sampling,52,0,1376,1376
discounting_free_vanilla_sampling,53,0,1728,1728
discounting_free_vanilla_sampling,54,0,960,960
discounting_free_vanilla_sampling,55,0,1136,1136
discounting_free_vanilla_sampling,56,0,1456,1456
discounting_free_vanilla_sampling,57,0,1360,1360
discounting_free_vanilla_sampling,58,0,1792,1792
discounting_free_vanilla_sampling,59,0,1504,1504
discounting_free_vanilla_sampling,60,0,960,960
discounting_free_vanilla_sampling,61,0,1488,1488
discounting_free_vanilla_sampling,62,0,1600,1600
discounting_free_vanilla_sampling,63,0,1600,1600
discounting_free_vanilla_sampling,64,0,1424,1424
discounting_free_vanilla_sampling,65,0,1344,1344
discounting_free_vanilla_sampling,66,0,2256,2256
discounting_free_vanilla_sampling,67,0,1232,1232
discounting_free_vanilla_sampling,68,0,928,928
discounting_free_vanilla_sampling,69,0,1488,1488
discounting_free_vanilla_sampling,70,0,1216,1216
discounting_free_vanilla_sampling,71,0,1728,1728
discounting_free_vanilla_sampling,72,0,1088,1088
discounting_free_vanilla_sampling,73,0,1232,1232
discounting_free_vanilla_sampling,74,0,1056,1056
discounting_free_vanilla_sampling,75,0,960,960
discounting_free_vanilla_sampling,76,0,1248,1248
discounting_free_vanilla_sampling,77,0,1648,1648
discounting_free_vanilla_sampling,78,0,1904,1904
discounting_free_vanilla_sampling,79,0,1216,1216
discounting_free_vanilla_sampling,80,0,1360,1360
discounting_free_vanilla_sampling,81,0,1088,1088
discounting_free_vanilla_sampling,82,0,1328,1328
discounting_free_vanilla_sampling,83,0,944,944
discounting_free_vanilla_sampling,84,0,1520,1520
discounting_free_vanilla_sampling,85,0,1104,1104
discounting_free_vanilla_sampling,86,0,1808,1808
discounting_free_vanilla_sampling,87,0,1104,1104
discounting_free_vanilla_sampling,88,0,1104,1104
discounting_free_vanilla_sampling,89,0,928,928
discounting_free_vanilla_sampling,90,0,1344,1344
discounting_free_vanilla_sampling,91,0,1792,1792
discounting_free_vanilla_sampling,92,0,2240,2240
discounting_free_vanilla_sampling,93,0,1088,1088
discounting_free_vanilla_sampling,94,0,1664,1664
discounting_free_vanilla_sampling,95,0,1392,1392
discounting_free_vanilla_sampling,96,0,1776,1776
discounting_free_vanilla_sampling,97,0,1104,1104
discounting_free_vanilla_sampling,98,0,1552,1552
discounting_free_vanilla_sampling,99,0,1232,1232
discounting_free_vanilla_sampling,100,0,1840,1840
discounting_free_vanilla_sampling,101,0,1904,1904
discounting_free_vanilla_sampling,102,0,1120,1120
discounting_free_vanilla_sampling,103,0,960,960
discounting_free_vanilla_sampling,104,0,1120,1120
discounting_free_vanilla_sampling,105,0,976,976
discounting_free_vanilla_sampling,106,0,1360,1360
discounting_free_vanilla_sampling,107,0,1232,1232
discounting_free_vanilla_sampling,108,0,960,960
discounting_free_vanilla_sampling,109,0,976,976
discounting_free_vanilla_sampling,110,0,1136,1136
discounting_free_vanilla_sampling,111,0,1520,1520
discounting_free_vanilla_sampling,112,0,1568,1568
discounting_free_vanilla_sampling,113,0,1520,1520
discounting_free_vanilla_sampling,114,0,1344,1344
discounting_free_vanilla_sampling,115,0,1264,1264
discounting_free_vanilla_sampling,116,0,944,944
discounting_free_vanilla_sampling,117,0,1488,1488
discounting_free_vanilla_sampling,118,0,1632,1632
discounting_free_vanilla_sampling,119,0,816,816
discounting_free_vanilla_sampling,120,0,1184,1184
discounting_free_vanilla_sampling,121,0,1824,1824
discounting_free_vanilla_sampling,122,0,1760,1760
discounting_free_vanilla_sampling,123,0,1296,1296
discounting_free_vanilla_sampling,124,0,1120,1120
discounting_free_vanilla_sampling,125,0,1632,1632
discounting_free_vanilla_sampling,126,0,1680,1680
discounting_free_vanilla_sampling,127,0,800,800
discounting_free_vanilla_sampling,128,0,1936,1936
discounting_free_vanilla_sampling,129,0,1056,1056
discounting_free_vanilla_sampling,130,0,960,960
discounting_free_vanilla_sampling,131,0,1344,1344
discounting_free_vanilla_sampling,132,0,1120,1120
discounting_free_vanilla_sampling,133,0,1440,1440
discounting_free_vanilla_sampling,134,0,1568,1568
discounting_free_vanilla_sampling,135,0,1376,1376
discounting_free_vanilla_sampling,136,0,1536,1536
discounting_free_vanilla_sampling,137,0,928,928
discounting_free_vanilla_sampling,138,0,1088,1088
discounting_free_vanilla_sampling,139,0,1376,1376
discounting_free_vanilla_sampling,140,0,1376,1376
discounting_free_vanilla_sampling,141,0,1248,1248
discounting_free_natural_exact,42,0,5,5
discounting_free_natural_exact,43,0,5,5
discounting_free_natural_exact,44,0,5,5
discounting_free_natural_exact,45,0,5,5
discounting_free_natural_exact,46,0,5,5
discounting_free_natural_exact,47,0,5,5
