method_name,samples_to_converge
discounting_free_vanilla_sampling,1264
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,960
discounting_free_vanilla_sampling,1232
discounting_free_vanilla_sampling,1200
discounting_free_vanilla_sampling,1104
discounting_free_vanilla_sampling,976
discounting_free_vanilla_sampling,960
discounting_free_vanilla_sampling,912
discounting_free_vanilla_sampling,1104
discounting_free_vanilla_sampling,1376
discounting_free_vanilla_sampling,1728
discounting_free_vanilla_sampling,960
discounting_free_vanilla_sampling,1136
discounting_free_vanilla_sampling,1456
discounting_free_vanilla_sampling,1360
discounting_free_vanilla_sampling,1792
discounting_free_vanilla_sampling,1504
discounting_free_vanilla_sampling,960
discounting_free_vanilla_sampling,1488
discounting_free_vanilla_sampling,1600
discounting_free_vanilla_sampling,1600
discounting_free_vanilla_sampling,1424
discounting_free_vanilla_sampling,1344
discounting_free_vanilla_sampling,2256
discounting_free_vanilla_sampling,1232
discounting_free_vanilla_sampling,928
discounting_free_vanilla_sampling,1488
discounting_free_vanilla_sampling,1216
discounting_free_vanilla_sampling,1728
discounting_free_vanilla_sampling,1088
discounting_free_vanilla_sampling,1232
discounting_free_vanilla_sampling,1056
discounting_free_vanilla_sampling,960
discounting_free_vanilla_sampling,1248
discounting_free_vanilla_sampling,1648
discounting_free_vanilla_sampling,1904
discounting_free_vanilla_sampling,1216
discounting_free_vanilla_sampling,1360
discounting_free_vanilla_sampling,1088
discounting_free_vanilla_sampling,1328
discounting_free_vanilla_sampling,944
discounting_free_vanilla_sampling,1520
discounting_free_vanilla_sampling,1104
discounting_free_vanilla_sampling,1808
discounting_free_vanilla_sampling,1104
discounting_free_vanilla_sampling,1104
discounting_free_vanilla_sampling,928
discounting_free_vanilla_sampling,1344
discounting_free_vanilla_sampling,1792
discounting_free_vanilla_sampling,2240
discounting_free_vanilla_sampling,1088
discounting_free_vanilla_sampling,1664
discounting_free_vanilla_sampling,1392
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,1104
discounting_free_vanilla_sampling,1552
discounting_free_vanilla_sampling,1232
discounting_free_vanilla_sampling,1840
discounting_free_vanilla_sampling,1904
discounting_free_vanilla_sampling,1120
discounting_free_vanilla_sampling,960
discounting_free_vanilla_sampling,1120
discounting_free_vanilla_sampling,976
discounting_free_vanilla_sampling,1360
discounting_free_vanilla_sampling,1232
discounting_free_vanilla_sampling,960
discounting_free_vanilla_sampling,976
discounting_free_vanilla_sampling,1136
discounting_free_vanilla_sampling,1520
discounting_free_vanilla_sampling,1568
discounting_free_vanilla_sampling,1520
discounting_free_vanilla_sampling,1344
discounting_free_vanilla_sampling,1264
discounting_free_vanilla_sampling,944
discounting_free_vanilla_sampling,1488
discounting_free_vanilla_sampling,1632
discounting_free_vanilla_sampling,816
discounting_free_vanilla_sampling,1184
discounting_free_vanilla_sampling,1824
discounting_free_vanilla_sampling,1760
discounting_free_vanilla_sampling,1296
discounting_free_vanilla_sampling,1120
discounting_free_vanilla_sampling,1632
discounting_free_vanilla_sampling,1680
discounting_free_vanilla_sampling,800
discounting_free_vanilla_sampling,1936
discounting_free_vanilla_sampling,1056
discounting_free_vanilla_sampling,960
discounting_free_vanilla_sampling,1344
discounting_free_vanilla_sampling,1120
discounting_free_vanilla_sampling,1440
discounting_free_vanilla_sampling,1568
discounting_free_vanilla_sampling,1376
discounting_free_vanilla_sampling,1536
discounting_free_vanilla_sampling,928
discounting_free_vanilla_sampling,1088
discounting_free_vanilla_sampling,1376
discounting_free_vanilla_sampling,1376
discounting_free_vanilla_sampling,1248
discounting_free_natural_sampling,656
discounting_free_natural_sampling,608
discounting_free_natural_sampling,624
discounting_free_natural_sampling,640
discounting_free_natural_sampling,640
discounting_free_natural_sampling,640
discounting_free_natural_sampling,608
discounting_free_natural_sampling,704
discounting_free_natural_sampling,640
discounting_free_natural_sampling,768
discounting_free_natural_sampling,624
discounting_free_natural_sampling,656
discounting_free_natural_sampling,640
discounting_free_natural_sampling,720
discounting_free_natural_sampling,640
discounting_free_natural_sampling,640
discounting_free_natural_sampling,608
discounting_free_natural_sampling,816
discounting_free_natural_sampling,720
discounting_free_natural_sampling,752
discounting_free_natural_sampling,608
discounting_free_natural_sampling,608
discounting_free_natural_sampling,720
discounting_free_natural_sampling,608
discounting_free_natural_sampling,720
discounting_free_natural_sampling,752
discounting_free_natural_sampling,608
discounting_free_natural_sampling,608
discounting_free_natural_sampling,608
discounting_free_natural_sampling,752
discounting_free_natural_sampling,608
discounting_free_natural_sampling,816
discounting_free_natural_sampling,624
discounting_free_natural_sampling,624
discounting_free_natural_sampling,768
discounting_free_natural_sampling,608
discounting_free_natural_sampling,704
discounting_free_natural_sampling,608
discounting_free_natural_sampling,656
discounting_free_natural_sampling,608
discounting_free_natural_sampling,640
discounting_free_natural_sampling,608
discounting_free_natural_sampling,720
discounting_free_natural_sampling,608
discounting_free_natural_sampling,608
discounting_free_natural_sampling,608
discounting_free_natural_sampling,640
discounting_free_natural_sampling,608
discounting_free_natural_sampling,720
discounting_free_natural_sampling,608
discounting_free_natural_sampling,624
discounting_free_natural_sampling,624
discounting_free_natural_sampling,608
discounting_free_natural_sampling,608
discounting_free_natural_sampling,608
discounting_free_natural_sampling,640
discounting_free_natural_sampling,752
discounting_free_natural_sampling,768
discounting_free_natural_sampling,608
discounting_free_natural_sampling,608
discounting_free_natural_sampling,608
discounting_free_natural_sampling,720
discounting_free_natural_sampling,624
discounting_free_natural_sampling,752
discounting_free_natural_sampling,720
discounting_free_natural_sampling,624
discounting_free_natural_sampling,608
discounting_free_natural_sampling,768
discounting_free_natural_sampling,704
discounting_free_natural_sampling,656
discounting_free_natural_sampling,752
discounting_free_natural_sampling,752
discounting_free_natural_sampling,752
discounting_free_natural_sampling,768
discounting_free_natural_sampling,624
discounting_free_natural_sampling,608
discounting_free_natural_sampling,640
discounting_free_natural_sampling,640
discounting_free_natural_sampling,640
discounting_free_natural_sampling,624
discounting_free_natural_sampling,624
discounting_free_natural_sampling,752
discounting_free_natural_sampling,640
discounting_free_natural_sampling,752
discounting_free_natural_sampling,720
discounting_free_natural_sampling,640
discounting_free_natural_sampling,624
discounting_free_natural_sampling,656
discounting_free_natural_sampling,608
discounting_free_natural_sampling,768
discounting_free_natural_sampling,656
discounting_free_natural_sampling,624
discounting_free_natural_sampling,608
discounting_free_natural_sampling,608
discounting_free_natural_sampling,624
discounting_free_natural_sampling,624
discounting_free_natural_sampling,752
discounting_free_natural_sampling,640
discounting_free_natural_sampling,608
discounting_free_natural_sampling,608
discounted_vanilla_proper,299721
discounted_vanilla_proper,299784
discounted_vanilla_proper,299768
discounted_vanilla_proper,299899
discounted_vanilla_proper,300497
discounted_vanilla_proper,299583
discounted_vanilla_proper,299724
discounted_vanilla_proper,299824
discounted_vanilla_proper,300091
discounted_vanilla_proper,299744
discounted_vanilla_proper,299679
discounted_vanilla_proper,299815
discounted_vanilla_proper,300191
discounted_vanilla_proper,299913
discounted_vanilla_proper,299938
discounted_vanilla_proper,300220
discounted_vanilla_proper,300232
discounted_vanilla_proper,300068
discounted_vanilla_proper,299863
discounted_vanilla_proper,300636
discounted_vanilla_proper,299982
discounted_vanilla_proper,299397
discounted_vanilla_proper,299835
discounted_vanilla_proper,299801
discounted_vanilla_proper,299632
discounted_vanilla_proper,299837
discounted_vanilla_proper,300317
discounted_vanilla_proper,299486
discounted_vanilla_proper,300119
discounted_vanilla_proper,299911
discounted_vanilla_proper,299964
discounted_vanilla_proper,299530
discounted_vanilla_proper,299525
discounted_vanilla_proper,299806
discounted_vanilla_proper,299633
discounted_vanilla_proper,299541
discounted_vanilla_proper,299897
discounted_vanilla_proper,300518
discounted_vanilla_proper,299819
discounted_vanilla_proper,300722
discounted_vanilla_proper,299573
discounted_vanilla_proper,299613
discounted_vanilla_proper,299597
discounted_vanilla_proper,299892
discounted_vanilla_proper,299573
discounted_vanilla_proper,299554
discounted_vanilla_proper,300069
discounted_vanilla_proper,299782
discounted_vanilla_proper,300378
discounted_vanilla_proper,299938
discounted_vanilla_proper,300158
discounted_vanilla_proper,300193
discounted_vanilla_proper,299733
discounted_vanilla_proper,299650
discounted_vanilla_proper,299904
discounted_vanilla_proper,299641
discounted_vanilla_proper,299625
discounted_vanilla_proper,300004
discounted_vanilla_proper,300159
discounted_vanilla_proper,299763
discounted_vanilla_proper,299963
discounted_vanilla_proper,299836
discounted_vanilla_proper,299931
discounted_vanilla_proper,299963
discounted_vanilla_proper,299568
discounted_vanilla_proper,299608
discounted_vanilla_proper,299668
discounted_vanilla_proper,299541
discounted_vanilla_proper,299915
discounted_vanilla_proper,300618
discounted_vanilla_proper,299532
discounted_vanilla_proper,299674
discounted_vanilla_proper,299784
discounted_vanilla_proper,299959
discounted_vanilla_proper,299789
discounted_vanilla_proper,300088
discounted_vanilla_proper,300401
discounted_vanilla_proper,300099
discounted_vanilla_proper,299450
discounted_vanilla_proper,300162
discounted_vanilla_proper,299647
discounted_vanilla_proper,299760
discounted_vanilla_proper,299986
discounted_vanilla_proper,299874
discounted_vanilla_proper,299871
discounted_vanilla_proper,299827
discounted_vanilla_proper,300044
discounted_vanilla_proper,299983
discounted_vanilla_proper,300028
discounted_vanilla_proper,300287
discounted_vanilla_proper,299682
discounted_vanilla_proper,299479
discounted_vanilla_proper,300180
discounted_vanilla_proper,300252
discounted_vanilla_proper,300346
discounted_vanilla_proper,299491
discounted_vanilla_proper,300285
discounted_vanilla_proper,299893
discounted_vanilla_proper,299522
discounted_vanilla_proper,300060
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
