theta0,theta1,bias
-10.0,-10.0,-1.00009
-9.5,-10.0,-1.00009
-9.0,-10.0,-1.00009
-8.5,-10.0,-1.00009
-8.0,-10.0,-1.00009
-7.5,-10.0,-1.00009
-7.0,-10.0,-1.00009
-6.5,-10.0,-1.00009
-6.0,-10.0,-1.00009
-5.5,-10.0,-1.00009
-5.0,-10.0,-1.00009
-4.5,-10.0,-1.00009
-4.0,-10.0,-1.00009
-3.5,-10.0,-1.00008
-3.0,-10.0,-1.00008
-2.5,-10.0,-1.00007
-2.0,-10.0,-1.00006
-1.5,-10.0,-1.00005
-1.0,-10.0,-1.00002
-0.5,-10.0,-0.99997
0.0,-10.0,-0.99989
0.5,-10.0,-0.99975
1.0,-10.0,-0.99954
1.5,-10.0,-0.99918
2.0,-10.0,-0.99858
2.5,-10.0,-0.9976
3.0,-10.0,-0.99599
3.5,-10.0,-0.99334
4.0,-10.0,-0.98899
4.5,-10.0,-0.98185
5.0,-10.0,-0.97016
5.5,-10.0,-0.95116
6.0,-10.0,-0.92051
6.5,-10.0,-0.87176
7.0,-10.0,-0.79591
7.5,-10.0,-0.68188
8.0,-10.0,-0.51915
8.5,-10.0,-0.30368
9.0,-10.0,-0.04568
9.5,-10.0,0.22736
10.0,-10.0,0.47994
-10.0,-9.5,-1.00015
-9.5,-9.5,-1.00015
-9.0,-9.5,-1.00015
-8.5,-9.5,-1.00015
-8.0,-9.5,-1.00015
-7.5,-9.5,-1.00015
-7.0,-9.5,-1.00015
-6.5,-9.5,-1.00015
-6.0,-9.5,-1.00015
-5.5,-9.5,-1.00015
-5.0,-9.5,-1.00015
-4.5,-9.5,-1.00015
-4.0,-9.5,-1.00014
-3.5,-9.5,-1.00014
-3.0,-9.5,-1.00013
-2.5,-9.5,-1.00012
-2.0,-9.5,-1.0001
-1.5,-9.5,-1.00007
-1.0,-9.5,-1.00003
-0.5,-9.5,-0.99995
0.0,-9.5,-0.99981
0.5,-9.5,-0.99959
1.0,-9.5,-0.99923
1.5,-9.5,-0.99864
2.0,-9.5,-0.99766
2.5,-9.5,-0.99605
3.0,-9.5,-0.9934
3.5,-9.5,-0.98905
4.0,-9.5,-0.9819
4.5,-9.5,-0.97022
5.0,-9.5,-0.95122
5.5,-9.5,-0.92057
6.0,-9.5,-0.87181
6.5,-9.5,-0.79596
7.0,-9.5,-0.68193
7.5,-9.5,-0.5192
8.0,-9.5,-0.30373
8.5,-9.5,-0.04573
9.0,-9.5,0.22732
9.5,-9.5,0.4799
10.0,-9.5,0.68542
-10.0,-9.0,-1.00025
-9.5,-9.0,-1.00025
-9.0,-9.0,-1.00025
-8.5,-9.0,-1.00025
-8.0,-9.0,-1.00025
-7.5,-9.0,-1.00025
-7.0,-9.0,-1.00025
-6.5,-9.0,-1.00025
-6.0,-9.0,-1.00025
-5.5,-9.0,-1.00024
-5.0,-9.0,-1.00024
-4.5,-9.0,-1.00024
-4.0,-9.0,-1.00024
-3.5,-9.0,-1.00023
-3.0,-9.0,-1.00022
-2.5,-9.0,-1.0002
-2.0,-9.0,-1.00017
-1.5,-9.0,-1.00012
-1.0,-9.0,-1.00004
-0.5,-9.0,-0.99991
0.0,-9.0,-0.99969
0.5,-9.0,-0.99933
1.0,-9.0,-0.99874
1.5,-9.0,-0.99776
2.0,-9.0,-0.99615
2.5,-9.0,-0.9935
3.0,-9.0,-0.98915
3.5,-9.0,-0.982
4.0,-9.0,-0.97032
4.5,-9.0,-0.95131
5.0,-9.0,-0.92066
5.5,-9.0,-0.87191
6.0,-9.0,-0.79606
6.5,-9.0,-0.68202
7.0,-9.0,-0.51929
7.5,-9.0,-0.30381
8.0,-9.0,-0.0458
8.5,-9.0,0.22725
9.0,-9.0,0.47984
9.5,-9.0,0.68536
10.0,-9.0,0.83578
-10.0,-8.5,-1.00041
-9.5,-8.5,-1.00041
-9.0,-8.5,-1.00041
-8.5,-8.5,-1.00041
-8.0,-8.5,-1.00041
-7.5,-8.5,-1.00041
-7.0,-8.5,-1.00041
-6.5,-8.5,-1.00041
-6.0,-8.5,-1.0004
-5.5,-8.5,-1.0004
-5.0,-8.5,-1.0004
-4.5,-8.5,-1.0004
-4.0,-8.5,-1.00039
-3.5,-8.5,-1.00038
-3.0,-8.5,-1.00036
-2.5,-8.5,-1.00033
-2.0,-8.5,-1.00028
-1.5,-8.5,-1.0002
-1.0,-8.5,-1.00007
-0.5,-8.5,-0.99985
0.0,-8.5,-0.99949
0.5,-8.5,-0.9989
1.0,-8.5,-0.99792
1.5,-8.5,-0.99631
2.0,-8.5,-0.99366
2.5,-8.5,-0.9893
