theta0,theta1,v_gamma
-10.0,-10.0,2269.546323017051
-9.5,-10.0,2269.5463230170567
-9.0,-10.0,2269.5463230170267
-8.5,-10.0,2269.5463230170203
-8.0,-10.0,2269.5463230169657
-7.5,-10.0,2269.5463230167825
-7.0,-10.0,2269.5463230162586
-6.5,-10.0,2269.5463230148653
-6.0,-10.0,2269.5463230106793
-5.5,-10.0,2269.546322997902
-5.0,-10.0,2269.5463229568
-4.5,-10.0,2269.546322816277
-4.0,-10.0,2269.5463223050333
-3.5,-10.0,2269.5463203362215
-3.0,-10.0,2269.546312386388
-2.5,-10.0,2269.5462791130076
-2.0,-10.0,2269.546136250444
-1.5,-10.0,2269.54551193125
-1.0,-10.0,2269.5427494100572
-0.5,-10.0,2269.530407113887
0.0,-10.0,2269.4747711545697
0.5,-10.0,2269.2214494661253
1.0,-10.0,2268.053262036818
1.5,-10.0,2262.583781012444
2.0,-10.0,2236.8507480040635
2.5,-10.0,2128.5336417299795
3.0,-10.0,1868.0814137949942
3.5,-10.0,1622.3798055850762
4.0,-10.0,1523.939756388842
4.5,-10.0,1508.0359037086864
5.0,-10.0,1522.4286898386824
5.5,-10.0,1545.5303622905876
6.0,-10.0,1563.6278680409876
6.5,-10.0,1573.225086377119
7.0,-10.0,1577.3488911880083
7.5,-10.0,1578.9613180478525
8.0,-10.0,1579.568384425734
8.5,-10.0,1579.7936640084579
9.0,-10.0,1579.876812355563
9.5,-10.0,1579.9074392921782
10.0,-10.0,1579.9187118142204
-10.0,-9.5,2269.546809201076
-9.5,-9.5,2269.546809201084
-9.0,-9.5,2269.5468092010715
-8.5,-9.5,2269.5468092010256
-8.0,-9.5,2269.5468092009196
-7.5,-9.5,2269.546809200587
-7.0,-9.5,2269.5468091998396
-6.5,-9.5,2269.546809197489
-6.0,-9.5,2269.5468091906414
-5.5,-9.5,2269.5468091695516
-5.0,-9.5,2269.546809101779
-4.5,-9.5,2269.5468088700186
-4.0,-9.5,2269.54680802717
-3.5,-9.5,2269.5468047812074
-3.0,-9.5,2269.5467916741395
-2.5,-9.5,2269.546736815677
-2.0,-9.5,2269.546501275134
-1.5,-9.5,2269.545471947757
-1.0,-9.5,2269.540917336382
-0.5,-9.5,2269.5205686341023
0.0,-9.5,2269.428846381838
0.5,-9.5,2269.0113055102156
1.0,-9.5,2267.0875538421797
1.5,-9.5,2258.115433628243
2.0,-9.5,2216.72710578742
2.5,-9.5,2060.1610172006203
3.0,-9.5,1773.3472159396915
3.5,-9.5,1575.6235794443007
4.0,-9.5,1514.772621707901
4.5,-9.5,1514.0529975011582
5.0,-9.5,1534.1283791883438
5.5,-9.5,1555.7206599687984
6.0,-9.5,1569.3562713721335
6.5,-9.5,1575.7512899096703
7.0,-9.5,1578.3471571893836
7.5,-9.5,1579.3389784365836
8.0,-9.5,1579.7091099799147
8.5,-9.5,1579.8460125457966
9.0,-9.5,1579.8964803744086
9.5,-9.5,1579.9150614011992
10.0,-9.5,1579.9218991874943
-10.0,-9.0,2269.5476107205145
-9.5,-9.0,2269.5476107205145
-9.0,-9.0,2269.5476107204713
-8.5,-9.0,2269.54761072043
-8.0,-9.0,2269.547610720229
-7.5,-9.0,2269.547610719768
-7.0,-9.0,2269.5476107183867
-6.5,-9.0,2269.547610714567
-6.0,-9.0,2269.5476107032473
-5.5,-9.0,2269.547610668541
-5.0,-9.0,2269.5476105567755
-4.5,-9.0,2269.5476101747436
-4.0,-9.0,2269.5476087850716
-3.5,-9.0,2269.547603433334
-3.0,-9.0,2269.5475818234504
-2.5,-9.0,2269.5474913771814
-2.0,-9.0,2269.547103036727
-1.5,-9.0,2269.54540596538
-1.0,-9.0,2269.537896724259
-0.5,-9.0,2269.504348212347
0.0,-9.0,2269.3531399212466
0.5,-9.0,2268.6650465122484
1.0,-9.0,2265.4994585490194
1.5,-9.0,2250.8302226363917
2.0,-9.0,2185.359839084206
2.5,-9.0,1973.7295144282343
3.0,-9.0,1689.894200710889
3.5,-9.0,1545.2608890421957
4.0,-9.0,1512.9929341670024
4.5,-9.0,1523.4493806090188
5.0,-9.0,1545.7320039466479
5.5,-9.0,1563.6695407693028
6.0,-9.0,1573.235104629976
6.5,-9.0,1577.3523229686205
7.0,-9.0,1578.9633256306174
7.5,-9.0,1579.5700781235582
8.0,-9.0,1579.7952879682007
8.5,-9.0,1579.8784207682509
9.0,-9.0,1579.9090442327417
9.5,-9.0,1579.920315978233
10.0,-9.0,1579.9244635458892
-10.0,-8.5,2269.548932032719
-9.5,-8.5,2269.54893203269
-9.0,-8.5,2269.548932032666
-8.5,-8.5,2269.5489320325646
-8.0,-8.5,2269.548932032271
-7.5,-8.5,2269.5489320314714
-7.0,-8.5,2269.54893202927
-6.5,-8.5,2269.5489320229
-6.0,-8.5,2269.548932004211
-5.5,-8.5,2269.5489319470403
-5.0,-8.5,2269.54893176282
-4.5,-8.5,2269.548931132846
-4.0,-8.5,2269.548928841676
-3.5,-8.5,2269.5489200181974
-3.0,-8.5,2269.5488843895328
-2.5,-8.5,2269.548735268903
-2.0,-8.5,2269.548095004355
-1.5,-8.5,2269.545297013779
-1.0,-8.5,2269.5329164866985
-0.5,-8.5,2269.477606587703
0.0,-8.5,2269.2283501175607
0.5,-8.5,2268.0947316628603
1.0,-8.5,2262.8922054129953
1.5,-8.5,2239.039531530397
2.0,-8.5,2138.271859310532
2.5,-8.5,1876.0366419618101
3.0,-8.5,1624.3591813942248
3.5,-8.5,1528.0727974252295
4.0,-8.5,1516.962643604418
4.5,-8.5,1534.7114959412245
5.0,-8.5,1555.8376573002029
5.5,-8.5,1569.3823708188957
6.0,-8.5,1575.7589563618048
6.5,-8.5,1578.3509032367458
7.0,-8.5,1579.3418669854052
7.5,-8.5,1579.7118085948673
8.0,-8.5,1579.8486688679106
8.5,-8.5,1579.8991272555368
9.0,-8.5,1579.9177061711532
9.5,-8.5,1579.9245434844222
10.0,-8.5,1579.9270591991417
-10.0,-8.0,2269.551110046449
-9.5,-8.0,2269.551110046436
-9.0,-8.0,2269.5511100463623
-8.5,-8.0,2269.5511100461963
-8.0,-8.0,2269.551110045682
-7.5,-8.0,2269.551110044441
-7.0,-8.0,2269.5511100407675
-6.5,-8.0,2269.551110030341
-6.0,-8.0,2269.5511099994956
-5.5,-8.0,2269.5511099052082
-5.0,-8.0,2269.5511096014184
-4.5,-8.0,2269.551108562829
-4.0,-8.0,2269.55110478537
-3.5,-8.0,2269.551090237933
-3.0,-8.0,2269.551031496289
-2.5,-8.0,2269.550785638116
-2.0,-8.0,2269.5497300219818
-1.5,-8.0,2269.5451169347807
-1.0,-8.0,2269.52470521808
-0.5,-8.0,2269.433520716539
0.0,-8.0,2269.022685441483
0.5,-8.0,2267.155987419853
1.0,-8.0,2258.623493396574
1.5,-8.0,2220.1899612572956
2.0,-8.0,2071.685243238487
2.5,-8.0,1778.7302313051532
3.0,-8.0,1578.145479438914
3.5,-8.0,1521.0492900125475
4.0,-8.0,1525.130707566804
4.5,-8.0,1546.066345152451
5.0,-8.0,1563.7400152476596
5.5,-8.0,1573.2533465791985
6.0,-8.0,1577.3596975293988
6.5,-8.0,1578.9683504306895
7.0,-8.0,1579.5745849987711
7.5,-8.0,1579.7996797383014
8.0,-8.0,1579.8827868626868
8.5,-8.0,1579.9134045873113
9.0,-8.0,1579.9246750469072
9.5,-8.0,1579.9288223256415
10.0,-8.0,1579.9303482152964
-10.0,-7.5,2269.554699729284
-9.5,-7.5,2269.554699729213
-9.0,-7.5,2269.554699729123
-8.5,-7.5,2269.554699728809
-8.0,-7.5,2269.5546997280862
-7.5,-7.5,2269.5546997258975
-7.0,-7.5,2269.554699719887
-6.5,-7.5,2269.5546997026654
-6.0,-7.5,2269.554699651873
-5.5,-7.5,2269.5546994964175
-5.0,-7.5,2269.554698995613
-4.5,-7.5,2269.554697283215
-4.0,-7.5,2269.554691055189
-3.5,-7.5,2269.5546670705353
-3.0,-7.5,2269.5545702221334
-2.5,-7.5,2269.5541648711965
-2.0,-7.5,2269.5524244589437
-1.5,-7.5,2269.544818816376
-1.0,-7.5,2269.511166459387
-0.5,-7.5,2269.3608452261647
0.0,-7.5,2268.6838161123083
0.5,-7.5,2265.612450184277
1.0,-7.5,2251.6661126305344
1.5,-7.5,2190.6663941975467
2.0,-7.5,1985.4677920716333
2.5,-7.5,1693.5164960771338
3.0,-7.5,1549.1559750323395
3.5,-7.5,1521.7276372062531
4.0,-7.5,1535.6755436807755
4.5,-7.5,1556.0335648747516
5.0,-7.5,1569.4282650845312
5.5,-7.5,1575.7744286522095
6.0,-7.5,1578.3599059640921
6.5,-7.5,1579.3494546074878
7.0,-7.5,1579.719082698308
7.5,-7.5,1579.8558731219855
8.0,-7.5,1579.9063159020136
8.5,-7.5,1579.9248913217461
9.0,-7.5,1579.931727849606
9.5,-7.5,1579.9342433870734
