theta0,theta1,value
-10.0,-10.0,327.86963414100416
-9.5,-10.0,327.8696341410038
-9.0,-10.0,327.869634141002
-8.5,-10.0,327.86963414099824
-8.0,-10.0,327.8696341409887
-7.5,-10.0,327.8696341409597
-7.0,-10.0,327.8696341408781
-6.5,-10.0,327.86963414064945
-6.0,-10.0,327.86963413998586
-5.5,-10.0,327.8696341380004
-5.0,-10.0,327.86963413178165
-4.5,-10.0,327.86963411119234
-4.0,-10.0,327.86963403870305
-3.5,-10.0,327.8696337675798
-3.0,-10.0,327.86963269824537
-2.5,-10.0,327.86962829946583
-2.0,-10.0,327.8696096366402
-1.5,-10.0,327.8695287132846
-1.0,-10.0,327.8691723961383
-0.5,-10.0,327.8675851674786
0.0,-10.0,327.86044210714846
0.5,-10.0,327.82794143816756
1.0,-10.0,327.67806259882633
1.5,-10.0,326.97594270429266
2.0,-10.0,323.6729276457386
2.5,-10.0,309.8418467322118
3.0,-10.0,276.59052053373836
3.5,-10.0,244.52135978972947
4.0,-10.0,231.5065526625725
4.5,-10.0,229.63499972072972
5.0,-10.0,232.02607054068469
5.5,-10.0,235.65212978455105
6.0,-10.0,238.46208976430387
6.5,-10.0,239.94549662245265
7.0,-10.0,240.581618137604
7.5,-10.0,240.8301352201318
8.0,-10.0,240.92366753224175
8.5,-10.0,240.9583718627286
9.0,-10.0,240.97118003732868
9.5,-10.0,240.9758976675111
10.0,-10.0,240.9776340075309
-10.0,-9.5,327.87009432040963
-9.5,-9.5,327.87009432040884
-9.0,-9.5,327.87009432040657
-8.5,-9.5,327.87009432040037
-8.0,-9.5,327.8700943203829
-7.5,-9.5,327.8700943203345
-7.0,-9.5,327.8700943202023
-6.5,-9.5,327.8700943198245
-6.0,-9.5,327.8700943187317
-5.5,-9.5,327.8700943154578
-5.0,-9.5,327.87009430520385
-4.5,-9.5,327.8700942712565
-4.0,-9.5,327.87009415174407
-3.5,-9.5,327.87009370473805
-3.0,-9.5,327.87009194170554
-2.5,-9.5,327.8700846893545
-2.0,-9.5,327.8700539195992
-1.5,-9.5,327.869920499808
-1.0,-9.5,327.8693330348721
-0.5,-9.5,327.8667161793383
0.0,-9.5,327.854940038746
0.5,-9.5,327.80137042393903
1.0,-9.5,327.5545543296859
1.5,-9.5,326.4029222119954
2.0,-9.5,321.09505716686346
2.5,-9.5,301.13158428106397
3.0,-9.5,264.3173580715887
3.5,-9.5,238.3455215625996
4.0,-9.5,230.3837835801749
4.5,-9.5,230.65069997177136
5.0,-9.5,233.8662334821159
5.5,-9.5,237.23614436867544
6.0,-9.5,239.34830279885247
6.5,-9.5,240.33570071079063
7.0,-9.5,240.73595391338776
7.5,-9.5,240.8887938459378
8.0,-9.5,240.945817390983
8.5,-9.5,240.96690673397535
9.0,-9.5,240.97468072690788
9.5,-9.5,240.97754284965416
10.0,-9.5,240.97859609188825
-10.0,-9.0,327.87085296880406
