iteration,theta0,theta1,gain
0,0.0,0.0,10.17393509127789
1,-36.076736631603424,-6.908657871191597,13.344537815126051
2,-36.076736631603424,-6.893653778770575,13.344537815126051
3,-36.076736631603424,-6.878423325813127,13.344537815126051
4,-36.076736631603424,-6.862959611577825,13.344537815126051
5,-36.076736631603424,-6.847255415946004,13.344537815126051
6,-36.076736631603424,-6.831303179455766,13.344537815126051
7,-36.076736631603424,-6.815094981754293,13.344537815126051
8,-36.076736631603424,-6.798622518315987,13.344537815126051
9,-36.076736631603424,-6.781877075256509,13.344537815126051
10,-36.076736631603424,-6.764849502053096,13.344537815126051
11,-36.076736631603424,-6.747530181959161,13.344537815126051
12,-36.076736631603424,-6.729908999875758,13.344537815126051
13,-36.076736631603424,-6.711975307413512,13.344537815126051
14,-36.076736631603424,-6.693717884845539,13.344537815126051
15,-36.076736631603424,-6.675124899614049,13.344537815126051
16,-36.076736631603424,-6.656183861009889,13.344537815126051
17,-36.076736631603424,-6.6368815705944115,13.344537815126051
18,-36.076736631603424,-6.61720406787554,13.344537815126051
19,-36.076736631603424,-6.597136570683453,13.344537815126051
20,-36.076736631603424,-6.576663409614386,13.344537815126051
21,-36.076736631603424,-6.55576795582163,13.344537815126051
22,-36.076736631603424,-6.534432541328722,13.344537815126051
23,-36.076736631603424,-6.512638370918164,13.344537815126051
24,-36.076736631603424,-6.490365424506507,13.344537815126051
25,-36.076736631603424,-6.467592348749081,13.344537815126051
26,-36.076736631603424,-6.444296336420064,13.344537815126051
27,-36.076736631603424,-6.420452991879743,13.344537815126051
28,-36.076736631603424,-6.396036180663074,13.344537815126051
29,-36.076736631603424,-6.371017860892567,13.344537815126051
30,-36.076736631603424,-6.345367893822244,13.344537815126051
31,-36.076736631603424,-6.319053830343259,13.344537815126051
32,-36.076736631603424,-6.292040669707098,13.344537815126051
33,-36.076736631603424,-6.264290586025656,13.344537815126051
34,-36.076736631603424,-6.235762617259098,13.344537815126051
35,-36.076736631603424,-6.2064123103639774,13.344537815126051
36,-36.076736631603424,-6.176191314996662,13.344537815126051
37,-36.076736631603424,-6.145046916586929,13.344537815126051
38,-36.076736631603424,-6.11292149763078,13.344537815126051
39,-36.076736631603424,-6.079751913591165,13.344537815126051
40,-36.076736631603424,-6.045468766696227,13.344537815126051
41,-36.076736631603424,-6.009995556994651,13.344537815126051
42,-36.076736631603424,-5.9732476850081335,13.344537815126051
43,-36.076736631603424,-5.935131273860917,13.344537815126051
44,-36.076736631603424,-5.895541770384932,13.344537815126051
45,-36.076736631603424,-5.854362273730805,13.344537815126051
46,-36.076736631603424,-5.811461525528847,13.344537815126051
47,-36.076736631603424,-5.766691476322469,13.344537815126051
48,-36.076736631603424,-5.719884316951583,13.344537815126051
49,-36.076736631603424,-5.670848828054797,13.344537815126051
50,-36.076736631603424,-5.619365851850991,13.344537815126051
51,-36.076736631603424,-5.565182621818253,13.344537815126051
52,-36.076736631603424,-5.508005588636209,13.344537815126051
53,-36.076736631603424,-5.447491240592701,13.344537815126051
54,-36.076736631603424,-5.383234211153329,13.344537815126051
55,-36.076736631603424,-5.314751659379948,13.344537815126051
56,-36.076736631603424,-5.241462440617338,13.344537815126051
57,-36.076736631603424,-5.162658854062327,13.344537815126051
58,-36.076736631603424,-5.077467583741654,13.344537815126051
