iteration,theta0,theta1,v_gamma
0,0.0,0.0,181.0586843894263
1,-36.076736631603424,-6.908657871191597,212.65345176532222
2,-36.076736631603424,-6.893653778770575,212.6536785820493
3,-36.076736631603424,-6.878423325813127,212.65391232059346
4,-36.076736631603424,-6.862959611577825,212.654153301647
5,-36.076736631603424,-6.847255415946004,212.6544018659723
6,-36.076736631603424,-6.831303179455766,212.65465837599353
7,-36.076736631603424,-6.815094981754293,212.65492321754178
8,-36.076736631603424,-6.798622518315987,212.6551968017717
9,-36.076736631603424,-6.781877075256509,212.65547956726908
10,-36.076736631603424,-6.764849502053096,212.65577198237224
11,-36.076736631603424,-6.747530181959161,212.65607454773257
12,-36.076736631603424,-6.729908999875758,212.65638779914374
13,-36.076736631603424,-6.711975307413512,212.65671231067253
14,-36.076736631603424,-6.693717884845539,212.65704869813064
15,-36.076736631603424,-6.675124899614049,212.65739762292944
16,-36.076736631603424,-6.656183861009889,212.65775979636985
17,-36.076736631603424,-6.6368815705944115,212.6581359844244
18,-36.076736631603424,-6.61720406787554,212.65852701307907
19,-36.076736631603424,-6.597136570683453,212.658933774312
20,-36.076736631603424,-6.576663409614386,212.6593572328007
21,-36.076736631603424,-6.55576795582163,212.6597984334613
22,-36.076736631603424,-6.534432541328722,212.66025850994464
23,-36.076736631603424,-6.512638370918164,212.66073869423184
24,-36.076736631603424,-6.490365424506507,212.66124032749946
25,-36.076736631603424,-6.467592348749081,212.66176487245474
26,-36.076736631603424,-6.444296336420064,212.66231392737654
27,-36.076736631603424,-6.420452991879743,212.66288924214385
28,-36.076736631603424,-6.396036180663074,212.6634927365874
29,-36.076736631603424,-6.371017860892567,212.66412652156484
30,-36.076736631603424,-6.345367893822244,212.6647929232433
31,-36.076736631603424,-6.319053830343259,212.66549451117103
32,-36.076736631603424,-6.292040669707098,212.66623413084474
33,-36.076736631603424,-6.264290586025656,212.6670149416336
34,-36.076736631603424,-6.235762617259098,212.66784046111343
35,-36.076736631603424,-6.2064123103639774,212.66871461710855
36,-36.076736631603424,-6.176191314996662,212.66964180904574
37,-36.076736631603424,-6.145046916586929,212.67062698061855
38,-36.076736631603424,-6.11292149763078,212.6716757062635
39,-36.076736631603424,-6.079751913591165,212.67279429460024
40,-36.076736631603424,-6.045468766696227,212.67398991283676
41,-36.076736631603424,-6.009995556994651,212.6752707372507
42,-36.076736631603424,-5.9732476850081335,212.6766461363316
43,-36.076736631603424,-5.935131273860917,212.67812689513013
44,-36.076736631603424,-5.895541770384932,212.6797254920091
45,-36.076736631603424,-5.854362273730805,212.6814564425915
46,-36.076736631603424,-5.811461525528847,212.68333673065715
47,-36.076736631603424,-5.766691476322469,212.68538635263712
48,-36.076736631603424,-5.719884316951583,212.687629012075
49,-36.076736631603424,-5.670848828054797,212.69009301430657
50,-36.076736631603424,-5.619365851850991,212.6928124317238
51,-36.076736631603424,-5.565182621818253,212.6958286395972
52,-36.076736631603424,-5.508005588636209,212.6991923667532
53,-36.076736631603424,-5.447491240592701,212.7029664730187
54,-36.076736631603424,-5.383234211153329,212.7072297705983
55,-36.076736631603424,-5.314751659379948,212.71208237413524
56,-36.076736631603424,-5.241462440617338,212.7176533377639
57,-36.076736631603424,-5.162658854062327,212.72411179652434
58,-36.076736631603424,-5.077467583741654,212.7316836241765
59,-36.076736631603424,-4.984794521505951,212.74067704402012
60,-36.076736631603424,-4.883244879575943,212.75152328669145
61,-36.076736631603424,-4.771004206790358,212.7648435771347
62,-36.076736631603424,-4.645655251848604,212.78156441195375
63,-36.076736631603424,-4.503884975528127,212.80312647422642
64,-36.076736631603424,-4.340993725527645,212.83188766418738
65,-36.076736631603424,-4.150025829341195,212.87196283075903
66,-36.076736631603424,-3.9201199198244123,212.9311518416351
67,-36.076736631603424,-3.6330949669297397,213.02596226832674
68,-36.076736631603424,-3.2555456129063614,213.19712422874989
69,-36.076736631603424,-2.7175972355459304,213.5705291648717
70,-36.076736631603424,-1.8432375443362914,214.69497956012964
71,-36.076736631603424,-0.06775655025893235,219.90746784297338
72,-36.076736631603424,3.6898451307928464,227.3194263829848
73,-36.076736631603424,4.047580953740067,227.4278068905775
74,-36.076736631603424,4.301437536055279,227.4849406275062
75,-36.076736631603424,4.499904830973364,227.52075358305842
76,-36.076736631603424,4.663431427868119,227.5454635246825
77,-36.076736631603424,4.80275053119197,227.56360396948673
78,-36.076736631603424,4.924246397129919,227.57751669560508
79,-36.076736631603424,5.032043182011278,227.58854057496447
80,-36.076736631603424,5.1289671027151025,227.5974992820136
81,-36.076736631603424,5.217043144193324,227.60492855138284
82,-36.076736631603424,5.297773732507942,227.61119246077965
83,-36.076736631603424,5.372305380091415,227.61654737986422
84,-36.076736631603424,5.44153351457538,227.62117921998222
85,-36.076736631603424,5.506171199498826,227.62522617692173
86,-36.076736631603424,5.566795757371685,227.62879317251227
87,-36.076736631603424,5.623881332522314,227.6319613356139
88,-36.076736631603424,5.6778222072353035,227.63479440728136
89,-36.076736631603424,5.728949861465665,227.63734317708676
90,-36.076736631603424,5.777545693412134,227.63964862372424
91,-36.076736631603424,5.823850664602638,227.64174418180545
92,-36.076736631603424,5.868072722800493,227.64365740646758
93,-36.076736631603424,5.910392591488379,227.6454112148673
94,-36.076736631603424,5.950968340049526,227.64702482516228
95,-36.076736631603424,5.989939031016211,227.64851447577243
96,-36.076736631603424,6.02742765983467,227.6498939827549
97,-36.076736631603424,6.063543546015148,227.65117517633448
98,-36.076736631603424,6.09838429434728,227.65236824613956
99,-36.076736631603424,6.1320374159023165,227.65348201670278
100,-36.076736631603424,6.1645816773992745,227.65452416914994
101,-36.076736631603424,6.196088231884755,227.65550142097064
102,-36.076736631603424,6.226621571995526,227.65641967284884
103,-36.076736631603424,6.256240338250897,227.65728412939615
104,-36.076736631603424,6.284998008093846,227.65809939905034
105,-36.076736631603424,6.312943486222304,227.65886957722316
106,-36.076736631603424,6.340121612733583,227.65959831588833
107,-36.076736631603424,6.366573602461658,227.66028888212526
108,-36.076736631603424,6.392337426409684,227.66094420761283
109,-36.076736631603424,6.417448144214105,227.66156693066688
110,-36.076736631603424,6.4419381950061645,227.6621594321007
111,-36.076736631603424,6.465837652774059,227.66272386594397
112,-36.076736631603424,6.489174451308114,227.66326218586048
113,-36.076736631603424,6.511974582981252,227.66377616795265
114,-36.076736631603424,6.534262274938578,227.66426743051667
115,-36.076736631603424,6.556060145712368,227.66473745121414
116,-36.076736631603424,6.577389344818704,227.66518758204674
117,-36.076736631603424,6.598269677510368,227.6656190624553
118,-36.076736631603424,6.618719716542906,227.66603303081104
119,-36.076736631603424,6.63875690254502,227.66643053452665
120,-36.076736631603424,6.658397634361258,227.66681253897522
121,-36.076736631603424,6.677657350547088,227.6671799353791
122,-36.076736631603424,6.696550603037273,227.6675335478046
123,-36.076736631603424,6.7150911238735365,227.66787413937854
124,-36.076736631603424,6.733291885762586,227.6682024178263
125,-36.076736631603424,6.751165157137286,227.66851904041613
126,-36.076736631603424,6.768722552309673,227.66882461838227
127,-36.076736631603424,6.785975077232194,227.66911972089108
128,-36.076736631603424,6.8029331713211425,227.66940487860268
129,-36.076736631603424,6.819606745742471,227.66968058687743
130,-36.076736631603424,6.8360052185133995,227.66994730866637
131,-36.076736631603424,6.852137546732728,227.6702054771218
132,-36.076736631603424,6.868012256217451,227.67045549795998
133,-36.076736631603424,6.883637468792358,227.67069775160152
134,-36.076736631603424,6.899020927452435,227.67093259511495
135,-36.076736631603424,6.91417001959415,227.67116036398315
136,-36.076736631603424,6.929091798490916,227.67138137371214
137,-36.076736631603424,6.9437930031697865,227.6715959212976
138,-36.076736631603424,6.958280076830206,227.67180428656408
139,-36.076736631603424,6.9725591839314145,227.6720067333897
140,-36.076736631603424,6.986636226062413,227.67220351082702
141,-36.076736631603424,7.000516856697243,227.67239485413103
142,-36.076736631603424,7.014206494928256,227.67258098570235
143,-36.076736631603424,7.0277103382612705,227.67276211595436
144,-36.076736631603424,7.0410333745485145,227.67293844411066
145,-36.076736631603424,7.054180393128213,227.67311015893998
146,-36.076736631603424,7.067155995233334,227.67327743943366
147,-36.076736631603424,7.079964603726311,227.6734404554313
148,-36.076736631603424,7.092610472211531,227.67359936819858
149,-36.076736631603424,7.10509769357269,227.67375433096223
150,-36.076736631603424,7.11743020797813,227.6739054894052
151,-36.076736631603424,7.129611810393413,227.67405298212552
152,-36.076736631603424,7.1416461576371715,227.67419694106243
153,-36.076736631603424,7.153536775013139,227.6743374918916
154,-36.076736631603424,7.165287062548593,227.67447475439297
155,-36.076736631603424,7.176900300866923,227.67460884279265
156,-36.076736631603424,7.188379656719772,227.6747398660814
157,-36.076736631603424,7.19972818820222,227.67486792831158
158,-36.076736631603424,7.210948849672522,227.67499312887358
159,-36.076736631603424,7.222044496396322,227.6751155627546
160,-36.076736631603424,7.233017888933603,227.6752353207798
161,-36.076736631603424,7.243871697285386,227.67535248983796
162,-36.076736631603424,7.254608504815703,227.6754671530928
163,-36.076736631603424,7.2652308119633995,227.67557939018036
164,-36.076736631603424,7.275741039757096,227.6756892773945
165,-36.076736631603424,7.2861415331457335,227.67579688786037
166,-36.076736631603424,7.296434564156178,227.6759022916973
167,-36.076736631603424,7.306622334888597,227.67600555617196
168,-36.076736631603424,7.316706980359458,227.67610674584202
