iteration,theta0,theta1,v_gamma
0,0.0,0.0,29.03575987980656
1,12.741965525792363,1.247469799086855,54.457461592075525
2,12.741971038184548,0.38073693957133914,55.37150765240363
3,12.741984152753048,-0.8250221513499798,56.818237943285425
4,12.742027945155142,-1.8842652484243092,57.682149995266705
5,12.742154241928606,-2.456649893284062,57.94678302562722
6,12.742378066614203,-2.820025770285988,58.060195263898834
7,12.742699884322562,-3.0851405872398696,58.12273368281989
8,12.743119252195394,-3.2937839647936076,58.16233318999822
9,12.743635683831972,-3.4657899465058444,58.18965463306914
10,12.7442487071728,-3.612093248217022,58.20963724926384
11,12.744957854975814,-3.7393578650855277,58.224882547862265
12,12.745762652132088,-3.8519452896684916,58.23689138113713
13,12.746662606326673,-3.952866290773563,58.24659062411114
14,12.747657201748984,-4.044286917110502,58.25458377760574
15,12.748745894961793,-4.127817778813349,58.26128077497175
16,12.749928112241369,-4.20468921334412,58.2669698836421
17,12.751203247928157,-4.275862415418093,58.27185975917897
18,12.752570663486804,-4.342102716325521,58.276105175773075
19,12.75402968707678,-4.404029501145216,58.27982337846773
20,12.755579613500114,-4.462151168894658,58.2831048179627
21,12.757219704434346,-4.516890211536017,58.28602039820912
22,12.75894918888611,-4.568601585132032,58.28862649100764
23,12.760767263818519,-4.617586417580293,58.2909684813448
24,12.762673094917872,-4.6641024053306435,58.29308332250165
25,12.764665817473347,-4.708371814881785,58.29500140936547
26,12.766744537349343,-4.750587722268177,58.29674797323225
27,12.768908332034137,-4.790918936631813,58.29834413492634
28,12.771156251751652,-4.829513927504917,58.29980771009238
29,12.773487320625254,-4.86650398835204,58.30115383215582
30,12.775900537884207,-4.902005807945473,58.302395439380795
31,12.778394879104676,-4.936123577789784,58.30354365941365
32,12.780969297478075,-4.968950732542262,58.30460811564093
33,12.78362272510049,-5.000571397531052,58.30559717330683
34,12.786354074277376,-5.0310616005814035,58.306518138777726
35,12.789162238838347,-5.060490292731851,58.30737742204214
36,12.792046095457309,-5.088920212882888,58.30818067012972
37,12.79500450497354,-5.116408624145599,58.3089328773461
38,12.79803631370968,-5.14300794405953,58.30963847689508
39,12.801140354782904,-5.168766286504969,58.31030141745698
40,12.804315449405838,-5.193727929737383,58.31092522752899
41,12.80756040817398,-5.217933722294944,58.31151306975328
42,12.810874032336743,-5.241421436406309,58.31206778700559
43,12.814255115049349,-5.264226076829864,58.31259194166772
44,12.817702442603114,-5.286380151692791,58.31308784923369
45,12.82121479563181,-5.307913910796771,58.31355760718208
46,12.824790950292092,-5.328855555961792,58.31400311987536
47,12.828429679416038,-5.349231427248048,58.31442612011199
48,12.832129753634172,-5.369066168295141,58.314828187845
49,12.835889942467452,-5.38838287352214,58.315210766493344
50,12.839709015386902,-5.407203219521258,58.31557517720093
51,12.843585742839737,-5.425547582635851,58.31592263133941
52,12.847518897241024,-5.443435144427604,58.316254241502044
53,12.851507253930027,-5.460883986497829,58.316571031198436
54,12.855549592090588,-5.477911175925705,58.316873943426
55,12.859644695635007,-5.494532842415401,58.31716384826808
56,12.863791354051058,-5.5107642480990675,58.317441549645295
57,12.867988363211863,-5.526619850819268,58.31770779132964
58,12.872234526148516,-5.542113361609055,58.317963262312986
59,12.876528653785448,-5.557257796997604,58.318208601610884
60,12.880869565638625,-5.572065526691775,58.31844440256922
61,12.885256090476771,-5.586548317117197,58.3186712167341
62,12.889687066945969,-5.600717371244647,58.31888955733485
63,12.89416134415797,-5.614583365077612,58.319099902426295
64,12.898677782242705,-5.628156481133421,58.31930269772739
65,12.903235252865546,-5.641446439212563,58.31949835919115
66,12.907832639709941,-5.6544625247178235,58.319687275334985
67,12.91246883892608,-5.667213614756017,58.319869809356916
68,12.917142759546326,-5.6797082022298335,58.32004630106114
69,12.921853323868218,-5.691954418105065,58.32021706861194
70,12.92659946780582,-5.7039600520189895,58.320382410134705
71,12.931380141210344,-5.715732571378391,58.320542605178396
72,12.93619430816086,-5.72727913908053,58.32069791605421
73,12.941040947226092,-5.738606629976826,58.32084858906198
74,12.945919051698183,-5.749721646187104,58.32099485561565
75,12.950827629799416,-5.760630531361646,58.321136933276755
76,12.95576570486287,-5.771339383978777,58.321275026705656
77,12.960732315487965,-5.781854069757361,58.321409328537044
78,12.9657265156719,-5.792180233256024,58.321540020187
79,12.970747374917975,-5.802323308724208,58.3216672725983
80,12.975793978321766,-5.812288530264143,58.321791246928726
81,12.98086542663615,-5.822080941357431,58.321912095187514
82,12.985960836316131,-5.831705403805089,58.32202996082492
83,12.991079339544457,-5.841166606125547,58.32214497927818
84,12.996220084238972,-5.8504690714511485,58.32225727847817
85,13.00138223404259,-5.859617164960243,58.322366979319675
86,13.006564968296887,-5.868615100878658,58.322474196098106
87,13.011767482000153,-5.877466949081565,58.322579036915876
88,13.016988985750796,-5.8861766413240835,58.32268160406052
89,13.022228705676989,-5.894747977126615,58.322781994356944
