theta0,theta1,gain
-10.0,-10.0,1.6032
-9.5,-10.0,1.6032
-9.0,-10.0,1.6032
-8.5,-10.0,1.6032
-8.0,-10.0,1.6032
-7.5,-10.0,1.6032
-7.0,-10.0,1.6032
-6.5,-10.0,1.6032
-6.0,-10.0,1.6032
-5.5,-10.0,1.6032
-5.0,-10.0,1.6032
-4.5,-10.0,1.6032
-4.0,-10.0,1.6032
-3.5,-10.0,1.6032
-3.0,-10.0,1.6032
-2.5,-10.0,1.6032
-2.0,-10.0,1.6032
-1.5,-10.0,1.6032
-1.0,-10.0,1.60319
-0.5,-10.0,1.60318
0.0,-10.0,1.60315
0.5,-10.0,1.60305
1.0,-10.0,1.60284
1.5,-10.0,1.60567
2.0,-10.0,1.68768
2.5,-10.0,1.9954
3.0,-10.0,2.40842
3.5,-10.0,2.82856
4.0,-10.0,3.12261
4.5,-10.0,3.32865
5.0,-10.0,3.49243
5.5,-10.0,3.59509
6.0,-10.0,3.64427
6.5,-10.0,3.66447
7.0,-10.0,3.67222
7.5,-10.0,3.67511
8.0,-10.0,3.67618
8.5,-10.0,3.67657
9.0,-10.0,3.67672
9.5,-10.0,3.67677
10.0,-10.0,3.67679
-10.0,-9.5,1.6032
-9.5,-9.5,1.6032
-9.0,-9.5,1.6032
-8.5,-9.5,1.6032
-8.0,-9.5,1.6032
-7.5,-9.5,1.6032
-7.0,-9.5,1.6032
-6.5,-9.5,1.6032
-6.0,-9.5,1.6032
-5.5,-9.5,1.6032
-5.0,-9.5,1.6032
-4.5,-9.5,1.6032
-4.0,-9.5,1.6032
-3.5,-9.5,1.6032
-3.0,-9.5,1.6032
-2.5,-9.5,1.6032
-2.0,-9.5,1.6032
-1.5,-9.5,1.6032
-1.0,-9.5,1.60319
-0.5,-9.5,1.60317
0.0,-9.5,1.60311
0.5,-9.5,1.60295
1.0,-9.5,1.60262
1.5,-9.5,1.60794
2.0,-9.5,1.73397
2.5,-9.5,2.10082
3.0,-9.5,2.55028
3.5,-9.5,2.95414
4.0,-9.5,3.21927
4.5,-9.5,3.41418
5.0,-9.5,3.55116
5.5,-9.5,3.62464
6.0,-9.5,3.65667
6.5,-9.5,3.66926
7.0,-9.5,3.67401
7.5,-9.5,3.67577
8.0,-9.5,3.67642
8.5,-9.5,3.67666
9.0,-9.5,3.67675
9.5,-9.5,3.67678
10.0,-9.5,3.67679
-10.0,-9.0,1.6032
-9.5,-9.0,1.6032
-9.0,-9.0,1.6032
-8.5,-9.0,1.6032
-8.0,-9.0,1.6032
-7.5,-9.0,1.6032
-7.0,-9.0,1.6032
-6.5,-9.0,1.6032
-6.0,-9.0,1.6032
-5.5,-9.0,1.6032
-5.0,-9.0,1.6032
-4.5,-9.0,1.6032
-4.0,-9.0,1.6032
-3.5,-9.0,1.6032
-3.0,-9.0,1.6032
-2.5,-9.0,1.6032
-2.0,-9.0,1.6032
-1.5,-9.0,1.60319
-1.0,-9.0,1.60318
-0.5,-9.0,1.60315
0.0,-9.0,1.60306
0.5,-9.0,1.60278
1.0,-9.0,1.60226
1.5,-9.0,1.61257
2.0,-9.0,1.79778
2.5,-9.0,2.22499
3.0,-9.0,2.70044
3.5,-9.0,3.07237
4.0,-9.0,3.31533
4.5,-9.0,3.48934
5.0,-9.0,3.5944
5.5,-9.0,3.64412
6.0,-9.0,3.66444
6.5,-9.0,3.67221
7.0,-9.0,3.67511
7.5,-9.0,3.67618
8.0,-9.0,3.67657
8.5,-9.0,3.67672
9.0,-9.0,3.67677
9.5,-9.0,3.67679
10.0,-9.0,3.6768
-10.0,-8.5,1.6032
-9.5,-8.5,1.6032
-9.0,-8.5,1.6032
-8.5,-8.5,1.6032
-8.0,-8.5,1.6032
-7.5,-8.5,1.6032
-7.0,-8.5,1.6032
-6.5,-8.5,1.6032
-6.0,-8.5,1.6032
-5.5,-8.5,1.6032
-5.0,-8.5,1.6032
-4.5,-8.5,1.6032
-4.0,-8.5,1.6032
-3.5,-8.5,1.6032
-3.0,-8.5,1.6032
-2.5,-8.5,1.6032
-2.0,-8.5,1.6032
-1.5,-8.5,1.60319
-1.0,-8.5,1.60317
-0.5,-8.5,1.60312
0.0,-8.5,1.60297
0.5,-8.5,1.60251
1.0,-8.5,1.60169
1.5,-8.5,1.62195
2.0,-8.5,1.88274
2.5,-8.5,2.36886
3.0,-8.5,2.85057
3.5,-8.5,3.1855
4.0,-8.5,3.40585
4.5,-8.5,3.54928
5.0,-8.5,3.62422
5.5,-8.5,3.65658
6.0,-8.5,3.66924
6.5,-8.5,3.67401
7.0,-8.5,3.67577
7.5,-8.5,3.67642
8.0,-8.5,3.67666
8.5,-8.5,3.67675
9.0,-8.5,3.67678
9.5,-8.5,3.67679
10.0,-8.5,3.6768
-10.0,-8.0,1.6032
-9.5,-8.0,1.6032
-9.0,-8.0,1.6032
-8.5,-8.0,1.6032
-8.0,-8.0,1.6032
-7.5,-8.0,1.6032
-7.0,-8.0,1.6032
-6.5,-8.0,1.6032
-6.0,-8.0,1.6032
-5.5,-8.0,1.6032
-5.0,-8.0,1.6032
-4.5,-8.0,1.6032
-4.0,-8.0,1.6032
-3.5,-8.0,1.6032
-3.0,-8.0,1.6032
-2.5,-8.0,1.6032
-2.0,-8.0,1.60319
-1.5,-8.0,1.60318
-1.0,-8.0,1.60315
-0.5,-8.0,1.60307
0.0,-8.0,1.60281
0.5,-8.0,1.60206
1.0,-8.0,1.60082
1.5,-8.0,1.64029
2.0,-8.0,1.99243
2.5,-8.0,2.53029
3.0,-8.0,2.99498
3.5,-8.0,3.2934
4.0,-8.0,3.48419
4.5,-8.0,3.59325
5.0,-8.0,3.64387
5.5,-8.0,3.66438
6.0,-8.0,3.6722
6.5,-8.0,3.6751
7.0,-8.0,3.67618
7.5,-8.0,3.67657
8.0,-8.0,3.67672
8.5,-8.0,3.67677
9.0,-8.0,3.67679
9.5,-8.0,3.6768
10.0,-8.0,3.6768
-10.0,-7.5,1.6032
-9.5,-7.5,1.6032
-9.0,-7.5,1.6032
-8.5,-7.5,1.6032
-8.0,-7.5,1.6032
-7.5,-7.5,1.6032
-7.0,-7.5,1.6032
-6.5,-7.5,1.6032
-6.0,-7.5,1.6032
-5.5,-7.5,1.6032
-5.0,-7.5,1.6032
-4.5,-7.5,1.6032
-4.0,-7.5,1.6032
-3.5,-7.5,1.6032
-3.0,-7.5,1.6032
-2.5,-7.5,1.6032
-2.0,-7.5,1.60319
-1.5,-7.5,1.60317
-1.0,-7.5,1.60312
-0.5,-7.5,1.60298
0.0,-7.5,1.60256
0.5,-7.5,1.60133
1.0,-7.5,1.59956
1.5,-7.5,1.67413
2.0,-7.5,2.12957
2.5,-7.5,2.70262
3.0,-7.5,3.13121
3.5,-7.5,3.39195
4.0,-7.5,3.54613
4.5,-7.5,3.62353
5.0,-7.5,3.65642
5.5,-7.5,3.66921
6.0,-7.5,3.674
6.5,-7.5,3.67577
7.0,-7.5,3.67642
7.5,-7.5,3.67666
8.0,-7.5,3.67675
8.5,-7.5,3.67678
9.0,-7.5,3.67679
9.5,-7.5,3.6768
10.0,-7.5,3.6768
-10.0,-7.0,1.6032
-9.5,-7.0,1.6032
-9.0,-7.0,1.6032
-8.5,-7.0,1.6032
-8.0,-7.0,1.6032
-7.5,-7.0,1.6032
-7.0,-7.0,1.6032
-6.5,-7.0,1.6032
-6.0,-7.0,1.6032
-5.5,-7.0,1.6032
-5.0,-7.0,1.6032
-4.5,-7.0,1.6032
-4.0,-7.0,1.6032
-3.5,-7.0,1.6032
-3.0,-7.0,1.6032
-2.5,-7.0,1.60319
-2.0,-7.0,1.60318
-1.5,-7.0,1.60315
-1.0,-7.0,1.60307
-0.5,-7.0,1.60284
0.0,-7.0,1.60215
0.5,-7.0,1.60012
1.0,-7.0,1.59798
1.5,-7.0,1.73216
2.0,-7.0,2.29483
2.5,-7.0,2.87657
3.0,-7.0,3.2571
3.5,-7.0,3.47555
4.0,-7.0,3.59134
4.5,-7.0,3.64345
5.0,-7.0,3.66429
5.5,-7.0,3.67217
6.0,-7.0,3.6751
6.5,-7.0,3.67617
7.0,-7.0,3.67657
7.5,-7.0,3.67672
8.0,-7.0,3.67677
8.5,-7.0,3.67679
9.0,-7.0,3.6768
9.5,-7.0,3.6768
10.0,-7.0,3.6768
