iteration,theta0,theta1,gain_plus_bias
0,0.0,0.0,9.4375
1,2.190682371501697,-5.760106425860535,-2.012564111195693
2,6.359884357243848,-12.232365594352167,-5.1280309301119695
3,9.362354827281713,-16.608168268197588,-5.6377834917576735
4,10.52239070558694,-17.58373928872325,-5.740289050088176
5,11.10192536827736,-17.461776434734162,-5.761373667428742
6,5.417086346373639,-4.806303459629305,-1.2847863939907946
7,2.9094458568671846,3.74263504102432,-3.677218998829989
8,7.425959838526577,-1.0433905060070083,-0.09829583164886824
9,19.00607872332717,-6.0415056889920375,1.204121935292473
10,27.411263033929977,-11.03584401273246,1.215918891881146
