iteration,theta0,theta1,gain
0,0.0,0.0,1.3124999999999998
1,-4.947047769480621e-16,1.9539304497411693e-16,1.3124999999999996
2,0.8232441783397163,0.21224524599957048,3.5040156860247222
3,0.823244178339717,0.21224524599956543,3.5040156860247187
4,1.3393102063504516,0.5644441738168102,3.6549356362260403
5,1.361885063252819,0.5456407606095279,3.655949807836855
6,1.3842000021016565,0.5677093277877977,3.6576796305500365
7,1.3913721755140718,0.4473684701684498,3.6556991000251227
8,1.3918376063768432,0.3525195972392106,3.6536530487186276
9,1.454631043931083,0.22900275517571045,3.65491350397726
10,1.4552130380458255,0.13232251614776167,3.652757307114129
11,1.7699297777055791,0.4467457611466382,3.669172574574163
