iteration,theta0,theta1,gain
0,0.0,0.0,1.3124999999999998
1,2.190682371501697,-5.760106425860535,3.006419360338554
2,6.359884357243848,-12.232365594352167,3.552039917094354
3,9.362354827281713,-16.608168268197588,3.6478903532552924
4,10.52239070558694,-17.58373928872325,3.6690003806426374
5,11.10192536827736,-17.461776434734162,3.6746141434668407
6,5.417086346373639,-4.806303459629305,3.6761867987338035
7,2.9094458568671846,3.74263504102432,3.6767794009497483
8,7.425959838526577,-1.0433905060070083,3.676799746302149
9,19.00607872332717,-6.0415056889920375,3.676799999999996
10,27.411263033929977,-11.03584401273246,3.676800000000001
