iteration,theta0,theta1,gain
0,0.0,0.0,1.3124999999999998
1,0.27773437499999964,-0.007031250000000065,2.131103468735221
2,10.430706151546834,1.8221629380466207,3.6767999999645777
3,10.430706151706197,1.2742833502987105,3.6767999999387375
4,10.43070615218292,0.3318299395842641,3.676799999842783
5,10.430706155322413,-0.7978244529614242,3.6767999995134764
6,10.430706185385002,-1.9905064255923164,3.676799998396469
7,10.430706511857105,-2.0627502602443726,3.676799998276337
8,10.430706889066013,-2.3683541807781423,3.6767999976602237
9,10.430707584016295,-3.1819720487339853,3.6767999947213434
