iteration,theta0,theta1,v_gamma
0,0.0,0.0,231.3732488062105
1,2.080181685435464,-5.396073885618686,509.8165383902088
2,6.084712060109563,-11.659935810048953,596.0999401310206
3,8.283820117745456,-14.507132627418287,611.2105367512944
4,5.252589807084476,-7.154800650915806,615.6548020074096
5,0.15269546525478805,4.351932255722128,607.9073640053235
6,4.40467495508612,-3.299116931792131,621.0822631737226
7,4.157564963858887,0.6364344857423427,619.8310850289377
8,9.911039278912334,-4.252746932798853,623.0692242530166
9,21.83764207331637,-9.243915015692309,623.1630436167009
