environment,policy,gain,bias
env-a3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(0))",0.0,-11.111111111111112
env-a3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(1))",0.0,-11.111111111111112
env-a3,"(np.int64(0), np.int64(0), np.int64(1), np.int64(0))",0.0,-20.00000000000001
env-a3,"(np.int64(0), np.int64(0), np.int64(1), np.int64(1))",0.0,-20.00000000000001
env-a3,"(np.int64(0), np.int64(1), np.int64(0), np.int64(0))",0.0,-2.2222222222222223
env-a3,"(np.int64(0), np.int64(1), np.int64(0), np.int64(1))",0.0,-2.2222222222222223
env-a3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(0))",0.0,-2.439024390243903
env-a3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(1))",0.0,-2.439024390243903
env-a3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0))",0.0,-2.439024390243903
env-a3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(1))",0.0,-2.439024390243903
env-a3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(0))",0.0,-20.00000000000001
env-a3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(1))",0.0,-20.00000000000001
env-a3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0))",0.0,-2.2222222222222223
env-a3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1))",0.0,-2.2222222222222223
env-a3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(0))",0.0,-11.111111111111114
env-a3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",0.0,-11.111111111111114
