environment,policy,gain,bias
env-b3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0))",3.676800000000001,-7.460800000000008
env-b3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1))",0.8729792147806004,10.034727370672412
env-b3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0))",1.759815242494225,2.516078276592232
env-b3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1))",0.7324675324675323,10.820475628267838
env-b3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0))",1.9792207792207788,1.2674312700286752
env-b3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1))",0.8367952522255193,10.598323486162597
env-b3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0))",1.1216617210682474,7.911111306782672
env-b3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1))",0.7938461538461538,10.87076923076923
env-b3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0))",2.3446153846153828,-0.4731360946745493
env-b3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(1))",1.0180505415162453,10.316321078079998
env-b3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0))",1.3646209386281567,7.033285980528888
env-b3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1))",0.9735849056603771,10.621075115699536
env-b3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1.4264150943396199,6.7335706657173535
env-b3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1))",1.0197628458498023,10.495414707306784
env-b3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0))",1.114624505928852,9.557671577434434
env-b3,"(np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1.0079999999999998,10.58
env-b3,"(np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0))",3.047999999999999,-2.8599999999999994
env-b3,"(np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1))",1.396039603960396,10.023184001568474
env-b3,"(np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(0))",1.8712871287128692,5.65831781197923
env-b3,"(np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1))",1.357894736842105,10.350138504155124
env-b3,"(np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0))",1.9894736842105243,5.093905817174522
env-b3,"(np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1))",1.4494382022471908,10.080040398939527
env-b3,"(np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0))",1.5842696629213462,8.767895467743983
env-b3,"(np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1))",1.4399999999999997,10.168571428571429
env-b3,"(np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0))",2.1599999999999984,4.417142857142865
env-b3,"(np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1))",1.5828220858895705,9.780985358876887
env-b3,"(np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0))",1.7300613496932487,8.341563476231713
